"Num features","BT+HA+MCF","BT+HA+MVW","BT+HB+MCF","BT+HB+MVW","BT+HA+MHV","BT+HB+MHV","B&B+HB+MHV","BestFS+HB+MHV","B&B+HB+MCF","BestFS+HB+MCF","B&B+HB+MVW","BestFS+HB+MVW","B&B+HA+MCF","BestFS+HA+MCF","B&B+HA+MHV","BestFS+HA+MHV","B&B+HA+MVW","BestFS+HA+MVW"
"1000-OPTIONALS","20.115","20.505","20.115","20.505","20.505","20.505","20.505","20.505","20.115","20.115","20.505","20.505","20.115","20.115","20.505","20.505","20.505","20.505"
"1000-NORMAL","15.351","15.262","14.448","14.717","17.12","17.058","17.058","17.058","14.448","14.448","14.717","14.717","15.389","24.68","17.127","27.298","15.291","221.317"
"1000-CARDINALITY","13.233","13.245","12.142","12.455","14.555","16.004","16.004","16.004","12.142","12.142","12.455","12.455","13.391","63.665","14.628","42.821","13.343","251.93"
"1000-CARDINALITY+CTC0.147","10.5","10.822","9.888","10.221","11.608","12.464","12.464","12.547","9.9","10.136","10.242","11.547","10.632","28.394","11.667","25.133","10.915","92.449"
"1000-CARDINALITY+CTC0.147+IR0.9","10.291","9.634","9.716","8.137","11.473","12.24","12.3","13.895","9.85","15.636","8.229","11.301","10.498","38.541","11.579","27.611","9.788","27.227"
