"Num features","BT+HA+MCF","BT+HA+MVW","BT+HB+MCF","BT+HB+MVW","BT+HA+MHV","BT+HB+MHV","B&B+HB+MHV","BestFS+HB+MHV","B&B+HB+MCF","BestFS+HB+MCF","B&B+HB+MVW","BestFS+HB+MVW","B&B+HA+MCF","BestFS+HA+MCF","B&B+HA+MHV","BestFS+HA+MHV","B&B+HA+MVW","BestFS+HA+MVW"
"1000-OPTIONALS","39.23","40.01","39.23","40.01","40.01","40.01","40.01","40.01","39.23","39.23","40.01","40.01","39.23","39.23","40.01","40.01","40.01","40.01"
"1000-NORMAL","29.702","29.524","27.896","28.434","33.24","33.116","33.116","33.116","27.896","27.896","28.434","28.434","57.886","48.36","53.596","53.596","452.132","441.634"
"1000-CARDINALITY","25.476","25.49","23.284","23.91","28.151","31.043","31.043","31.043","23.284","23.284","23.91","23.91","156.19","126.337","91.434","84.686","552.74","502.86"
"1000-CARDINALITY+CTC0.147","20.497","21.244","19.251","20.022","22.869","24.787","25.005","24.955","20.168","19.751","23.401","22.724","70.022","56.403","54.545","50.07","211.715","186.176"
"1000-CARDINALITY+CTC0.147+IR0.9","20.667","19.507","19.492","16.376","23.11","25.085","30.469","29.569","40.406","33.701","26.178","24.207","102.854","80.167","61.619","56.826","75.161","56.617"
