"BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","GAFES(pop:30,gen:100)","SPLConfig"
0.034659,0.020679,0.054173,0.016019,0.01398,0.047183,0.380082,0.03029
0.022717,0.018057,0.045726,0.018058,0.014853,0.041358,0.310473,0.023591
0.022426,0.01864,0.052716,0.022135,0.01631,0.051843,0.299115,0.020097
0.007281,0.00699,0.045727,0.005534,0.006116,0.041358,0.292125,0.010777
0.012232,0.010776,0.043396,0.00932,0.00932,0.038736,0.690555,0.011068
0.020387,0.016019,0.050678,0.016019,0.013398,0.047183,0.702497,0.024756
0.018057,0.016019,0.054464,0.015145,0.013689,0.049513,0.578425,0.01631
0.019222,0.01864,0.049221,0.01631,0.012815,0.040775,0.427557,0.016893
0.013106,0.008738,0.049221,0.008738,0.007864,0.038153,0.25863,0.01398
0.013397,0.016601,0.053007,0.017475,0.014562,0.047765,0.380083,0.021262
0.010485,0.011941,0.04194,0.008737,0.010193,0.038445,4.923596,0.010485
0.017475,0.012232,0.049222,0.013688,0.011068,0.045144,0.425809,0.012233
0.016893,0.016601,0.047473,0.01398,0.014272,0.043396,0.408917,0.01864
0.018058,0.029125,0.064367,0.016892,0.016601,0.046892,0.414741,0.016602
0.017184,0.012232,0.048347,0.014853,0.02097,0.059707,0.37018,0.019222
0.013398,0.014563,0.049804,0.010776,0.011942,0.045144,0.664343,0.024756
0.016019,0.010776,0.047474,0.012815,0.008738,0.043105,2.275834,0.016892
0.017766,0.013689,0.047474,0.013397,0.011941,0.042523,0.44474,0.01864
0.017184,0.015436,0.057959,0.013689,0.025047,0.046018,0.510562,0.013107
0.019805,0.016019,0.047765,0.013397,0.013689,0.043688,0.346006,0.016018
0.012524,0.016893,0.044853,0.00932,0.014563,0.040775,4.126152,0.017184
0.011942,0.010776,0.042813,0.009902,0.009028,0.049222,0.307561,0.014562
0.015727,0.01398,0.043978,0.022136,0.012524,0.053881,0.565318,0.017766
0.016893,0.012815,0.049221,0.01398,0.010776,0.044561,0.41678,0.014853
0.018931,0.019805,0.051552,0.01631,0.013689,0.047765,0.278727,0.016602
0.021844,0.018931,0.048639,0.01864,0.014271,0.04427,0.29795,0.017475
0.012815,0.012233,0.043396,0.010485,0.010485,0.038736,0.619782,0.011651
0.00699,0.013106,0.044853,0.009029,0.011068,0.040193,0.41212,0.008738
0.012524,0.010485,0.042231,0.009612,0.008738,0.037572,0.522795,0.017475
0.017475,0.019805,0.051842,0.014854,0.01631,0.046017,0.419983,0.031164
0.016892,0.011941,0.059998,0.01398,0.010193,0.043979,0.498331,0.013107
0.014854,0.010485,0.048056,0.01165,0.009029,0.043397,0.654732,0.027378
0.00699,0.005243,0.015728,0.004951,0.005243,0.014563,2.015165,0.014562
0.020388,0.033494,0.06058,0.020387,0.020388,0.046601,0.279892,0.028252
0.021844,0.016601,0.049222,0.017766,0.01398,0.045144,0.45872,0.015145
0.019806,0.009902,0.054173,0.016892,0.009029,0.049221,0.381539,0.018932
0.018932,0.012815,0.053591,0.013106,0.010776,0.050095,0.359695,0.017475
0.018349,0.013397,0.0466,0.012232,0.011942,0.04194,0.367559,0.013106
0.01631,0.013397,0.050678,0.013689,0.011359,0.049512,0.273485,0.011941
0.008155,0.017183,0.049512,0.007281,0.006698,0.04427,0.28863,0.012523
0.021553,0.020388,0.059707,0.017184,0.027669,0.048348,0.239699,0.01631
0.008155,0.007572,0.040193,0.007864,0.006407,0.036697,0.355035,0.018349
0.017183,0.009029,0.046891,0.01165,0.008446,0.043396,0.312803,0.02563
0.019223,0.016601,0.050386,0.019223,0.013688,0.050387,0.265329,0.015727
0.012524,0.012233,0.047183,0.009902,0.010194,0.042523,0.546969,0.015436
0.026213,0.012523,0.060289,0.020096,0.025921,0.058832,0.203876,0.015145
0.01165,0.010194,0.045144,0.009611,0.009029,0.041357,0.340181,0.013107
0.01864,0.013688,0.042814,0.014563,0.011359,0.038154,0.259796,0.021262
0.015728,0.008447,0.050387,0.013106,0.012524,0.05359,0.446196,0.018349
0.01631,0.017475,0.053299,0.013397,0.014563,0.047765,0.403092,0.017767
0.019805,0.015145,0.058833,0.016019,0.013689,0.054173,1.063649,0.019514
0.013397,0.016893,0.048639,0.01398,0.013688,0.04427,0.397266,0.018058
0.013107,0.012815,0.047474,0.021261,0.011067,0.036989,0.948313,0.015436
0.016601,0.013398,0.040775,0.013688,0.011358,0.037572,0.208245,0.021844
0.008155,0.007573,0.033494,0.006699,0.009029,0.033494,0.596773,0.010485
0.010194,0.010485,0.037862,0.008155,0.008446,0.033203,0.498913,0.01398
0.013106,0.009611,0.036115,0.01165,0.008737,0.033202,0.169217,0.015728
0.01398,0.014271,0.038446,0.01165,0.011942,0.033786,0.17679,0.015727
0.010485,0.008155,0.033494,0.008155,0.007281,0.029416,0.198342,0.024465
0.014563,0.014854,0.039901,0.012815,0.012524,0.035824,0.180576,0.016601
0.013397,0.011941,0.041067,0.011358,0.010194,0.039319,0.25863,0.017766
0.006407,0.005243,0.013689,0.005242,0.004951,0.013106,0.731331,0.013106
0.014271,0.012523,0.040484,0.01165,0.011067,0.035242,0.169217,0.018349
0.016601,0.014272,0.035241,0.013397,0.012233,0.032621,0.272319,0.024756
0.017184,0.010777,0.038736,0.014563,0.012524,0.035532,0.251058,0.024757
0.018057,0.011359,0.03728,0.014271,0.010485,0.033785,0.205623,0.021261
0.010485,0.00932,0.049513,0.009611,0.01165,0.035824,0.246107,0.015436
0.012523,0.011359,0.040193,0.010485,0.010193,0.045144,0.197468,0.016601
0.014271,0.009903,0.039902,0.011941,0.008447,0.036406,0.270281,0.018057
0.014562,0.00699,0.041067,0.011941,0.006116,0.036989,0.372801,0.01631
0.018349,0.014271,0.045144,0.009029,0.011358,0.034368,0.224845,0.015145
0.016019,0.017184,0.053299,0.013397,0.01398,0.053008,0.716769,0.023009
0.016018,0.016019,0.064658,0.028251,0.014271,0.072521,6.533631,0.018641
0.023009,0.018931,0.056794,0.016892,0.014853,0.056794,0.388237,0.023008
0.026504,0.016601,0.054173,0.021552,0.01398,0.04893,0.330861,0.02796
0.009029,0.008446,0.051843,0.007573,0.007281,0.049221,0.396684,0.012524
0.02097,0.01864,0.056503,0.017766,0.01631,0.05126,0.327366,0.023009
0.018348,0.014563,0.057085,0.015437,0.012233,0.052133,1.234321,0.026504
0.027669,0.02097,0.069318,0.020096,0.014271,0.063201,0.461633,0.062036
0.0233,0.016601,0.063201,0.018058,0.01398,0.071066,3.288222,0.023592
0.013397,0.011941,0.070483,0.011068,0.014563,0.051551,0.407168,0.024465
0.015145,0.015436,0.05592,0.011941,0.013397,0.050095,0.546969,0.017184
0.022427,0.017183,0.057377,0.018348,0.014854,0.052716,0.511728,0.024756
