"BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","GAFES(pop:30,gen:100)","SPLConfig"
0.99803897,0.999423136,1,0.99803897,0.999423136,1,1.144768786,0.999423136
1,1,1,1,0.982503436,1,0.84810505,0.939315521
0.896337857,1,1,0.896337857,1,1,0.512159704,0.858953763
1,0.974043952,1,0.974043952,0.974043952,1,0.892032815,1.138786768
1,1,1,1,1,1,0.994764493,0.994764493
1,1,1,1,1,1,0.710420328,1
1,1,1,1,1,1,0.787707536,1.032406591
1,1,1,1,1,1,0.546947053,1
0.976885437,1,1,0.976885437,1,1,0.733200429,1
1,1,1,1,1,1,0.753701345,0
1,1,1,1,1,1,0.743990414,1
0.865646861,1,1,0.865646861,1,1,0.836576507,1
1,1,1,1,0.923739343,1,1,1
1,1,1,0.992940443,1,1,0.992940443,1.07164458
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.742692313,1.043330107
0.882356967,1,1,0.882356967,1,1,0.784233326,1
0.994351974,0.891522204,1,0.994351974,0.891522204,1,0.549879387,1.241926496
0.984280685,1,1,0.984280685,1,1,0.974991674,1.35870245
1,0.871624014,1,1,0.871624014,1,0.849888342,1.303314566
1,1,1,1,1,1,1.977964432,1
1,1,1,1,1,1,1,0.822176111
0.939427532,0.965930843,1,0.939427532,0.965930843,1,0.929591843,1.024664979
1,1,1,1,1,1,0.76347344,1
1,1,1,1,1,1,0.760460106,0.939590949
0.8983927,1,1,0.8983927,1,1,0.855764445,1
1,1,1,1,1,1,0.563668427,1
1,1,1,1,1,1,0.971442647,1
1,1,1,1,1,1,0.63639818,0.339944441
1,1,1,0.966197985,1,1,0.765983696,0.966197985
1,1,1,1,1,1,0.61405323,0.913542846
1,1,1,0.96728842,1,1,0.859634801,0.859634801
0.923783753,1,1,0.923783753,1,1,0.689027224,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.562432017,1
1,1,1,1,1,1,0.861125429,0.982418107
1,1,1,0.892586153,0.892586153,0.958911862,0.958911862,1.063996509
0.884672921,1,1,0.884672921,1,1,0.952894699,1
0.954943999,1,1,0.954943999,1,1,0.903517606,0.856666246
1,1,1,1,1,1,0.669085828,1
1,1,1,0.97501366,0.97501366,1,0.925206493,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.91004726,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.945387835,1
1,1,1,0.958653767,0.957185416,1,0.692351081,0.958653767
1,1,1,1,1,1,0.88592852,1
1,1,1,1,1,1,1,1.009667822
1,1,1,0.630109935,0.493323053,1,0.987160429,0
0.981237388,0.981237388,0.981237388,0.981237388,0.981237388,0.981237388,0.659528936,0.981237388
1,1,1,1,0.971776246,1,0.971554601,0.971554601
0.945184562,1,1,0.945184562,1,1,0.775917763,1
1,1,1,1,1,1,0.967342774,0.991729527
1,1,1,1,0.945497789,1,0.690245257,0.680720634
1,1,1,1,1,1,0.80776941,0
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.653730736,0
1,1,1,1,1,1,0.855321795,1
1,1,1,1,1,1,0.996603894,1
0.934751584,0.934751584,0.947682329,0.934751584,0.934751584,0.947682329,0.736243214,1
1,1,1,1,1,1,0.514199996,1.206268094
1,1,1,1,0.970331645,1,0.962380262,1.049255413
1,1,1,1,1,1,0.820436415,0
0.952286161,0.952286161,1,0.952286161,0.946158955,1,0.717099859,1.06305582
1,1,1,1,1,1,0.609215472,1.058164022
1,1,1,1,1,1,0.921291366,0.450255674
0.890922039,1,1,0.890922039,1,1,0.672685579,0.880078209
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.991836295,1
1,1,1,1,0.981419229,1,0.788951494,0
1,1,1,1,1,1,0.651878229,1.047492308
1,1,1,1,1,1,1.129388278,1
1,1,1,0.998900815,1,1,0.720727425,0.720095441
1,1,1,1,1,1,0.18438484,1
0.895991304,0.979253695,1,0.895991304,0.979253695,1,0.926344063,0.979253695
1,1,1,1,1,1,0.611848465,1
1,1,1,1,1,1,0.851686353,1.036244706
1,1,1,1,1,1,1.192205081,0.84562456
1,1,1,1,1,1,1,1
0.94459306,1,1,0.94459306,1,1,0.775921982,1
1,1,1,1,1,1,0.817453666,1
1,1,1,1,1,1,3.983512608,1
0.969713759,1,1,0.969713759,1,1,0.807644546,0.893791144
0.95216527,1,1,0.95216527,1,1,0.761641812,1
1,1,1,0.998976775,0.787097911,1,0.998714667,0.998714667
1,1,1,1,0.924997362,1,0.705575486,1.036090766
1,1,1,1,1,1,0.634350485,1
1,1,1,1,1,1,0.6996243,1
