"BT+HTC+MCF","BT+HTC+MVW","BT+HTC+MHV","BT+HMO+MCF","BT+HMO+MVW","BT+HMO+MHV","GAFES(pop:30,gen:100)","SPLConfig"
"0.084754","0.047765","0.129897","0.129024","0.039901","0.143878","0.542018","0.197176"
"0.038736","0.041358","0.113587","0.03029","0.027378","0.108345","0.608423","0.108928"
"0.083589","0.069317","0.147956","0.069026","0.058541","0.133101","0.457846","0.180575"
"0.11388","0.050095","0.115044","0.043397","0.046017","0.111258","0.695507","0.13514"
"0.081551","0.049513","0.23999","0.064658","0.03495","0.141548","0.574638","0.168926"
"0.051843","0.02563","0.119412","0.043978","0.024465","0.11184","0.472118","0.153781"
"0.039027","0.041066","0.10252","0.05126","0.033785","0.087084","0.4028","0.131063"
"0.036115","0.030581","0.088832","0.029999","0.027086","0.083006","0.465127","0.102229"
"0.05592","0.039319","0.106016","0.044853","0.03495","0.111258","0.45639","0.138927"
"0.038446","0.031455","0.096986","0.032911","0.028543","0.092036","0.489884","0.111258"
"0.036989","0.034659","0.086501","0.031164","0.031455","0.081842","0.476486","0.105724"
"0.035823","0.038445","0.09786","0.043979","0.033785","0.092036","0.825405","0.087666"
"0.031455","0.023882","0.099316","0.025338","0.026213","0.088541","0.439498","1.345288"
"0.033494","0.024465","0.047183","0.029707","0.02097","0.045435","0.438332","0.120869"
"0.02563","0.020678","0.081259","0.01864","0.018349","0.075143","0.513476","0.094365"
"0.050969","0.041649","0.107763","0.042231","0.036698","0.100191","0.555415","0.123199"
"0.0233","0.024174","0.083006","0.021552","0.020096","0.078929","0.444158","0.128733"
"0.041358","0.034367","0.095821","0.038445","0.036115","0.089997","0.410372","0.10951"
"0.032329","0.03262","0.090287","0.028251","0.027668","0.083589","0.45406","0.0932"
"0.044853","0.034076","0.096404","0.037863","0.029126","0.103103","0.662887","0.165722"
"0.0466","0.038154","0.108346","0.035241","0.039902","0.100191","0.522504","0.152616"
"0.049804","0.047474","0.122326","0.043396","0.04427","0.104559","0.433963","0.149703"
"0.043105","0.045726","0.101938","0.036406","0.035824","0.097278","0.433381","0.113879"
"0.057085","0.040775","0.128151","0.073978","0.040775","0.131645","0.996078","0.135722"
"0.068736","0.055629","0.134266","0.05825","0.048348","0.129024","1.332764","0.214943"
"0.061746","0.064366","0.132519","0.049512","0.055338","0.124073","1.137917","0.233583"
"0.043397","0.049221","0.121161","0.035241","0.043397","0.1165","1.226748","0.176498"
"0.064366","0.061454","0.124073","0.056212","0.057086","0.12349","0.493088","0.149995"
"0.05359","0.045435","0.122616","0.047474","0.046308","0.114753","0.552795","0.160188"
"0.041941","0.029125","0.055629","0.032037","0.025921","0.051843","0.454642","0.177663"
"0.057376","0.048056","0.122908","0.058833","0.04194","0.106015","0.354453","0.145335"
"0.031746","0.030582","0.042814","0.02796","0.028251","0.042814","0.368433","0.213195"
"0.059706","0.042813","0.117083","0.050095","0.038154","0.110384","0.432799","0.126403"
"0.054172","0.037863","0.103685","0.035242","0.029125","0.092909","0.442993","0.081842"
"0.045727","0.036116","0.081841","0.034368","0.033203","0.078347","0.223972","0.080094"
"0.048056","0.032038","0.073978","0.035241","0.031455","0.069026","0.191934","0.145043"
"0.04194","0.041357","0.089706","0.035824","0.037572","0.082716","0.369306","0.097861"
"0.034077","0.032329","0.147955","0.034368","0.028251","0.103685","0.3096","0.16747"
"0.056502","0.056794","0.110093","0.037571","0.038737","0.092909","0.172712","0.11883"
"0.040776","0.03728","0.102229","0.033494","0.027669","0.089414","0.299697","0.084754"
"0.027669","0.019805","0.082424","0.022135","0.017475","0.073978","0.263873","0.065823"
"0.039901","0.033785","0.092618","0.030582","0.027378","0.085628","0.226884","0.073977"
"0.017475","0.015727","0.063201","0.011941","0.013398","0.060872","0.221351","0.14679"
"0.034659","0.033494","0.106889","0.029125","0.031455","0.082716","0.231253","0.134266"
"0.047765","0.021843","0.110967","0.03495","0.057959","0.100482","0.232127","0.074269"
"0.051842","0.036698","0.110966","0.038445","0.028543","0.09786","0.362608","0.099025"
"0.071648","0.064657","0.150868","0.052716","0.080677","0.138636","0.410955","0.109511"
"0.034659","0.036116","0.105141","0.027669","0.027961","0.099317","0.365811","0.055338"
"0.058542","0.049222","0.137179","0.044852","0.038154","0.142421","0.382703","0.146208"
"0.058542","0.059124","0.134849","0.045726","0.039028","0.122908","0.379791","0.078929"
"0.063493","0.032911","0.136888","0.035824","0.020388","0.115918","0.3795","0.107472"
"0.102229","0.068735","0.194264","0.063784","0.056503","0.176498","0.655897","0.241156"
"0.058541","0.043688","0.136305","0.037571","0.033494","0.124073","0.578133","0.110676"
"0.054464","0.042522","0.133393","0.042523","0.038154","0.119122","0.412702","0.133975"
"0.071357","0.062619","0.138635","0.048057","0.043105","0.123781","0.338143","0.089414"
"0.046018","0.058833","0.134558","0.038153","0.041649","0.117666","0.445614","0.078638"
"0.057668","0.047474","0.127859","0.043397","0.036989","0.123199","0.403383","0.088831"
"0.050678","0.041649","0.140674","0.046891","0.03495","0.127277","0.798028","0.096113"
"0.036406","0.039902","0.154072","0.031746","0.032329","0.137761","0.980642","0.080968"
"0.077473","0.075725","0.151451","0.05359","0.05359","0.140965","0.460759","0.131936"
"0.086793","0.078929","0.180867","0.062328","0.06757","0.160188","0.387073","0.106598"
"0.071939","0.062037","0.162518","0.047474","0.047474","0.151742","0.636092","0.124073"
"0.073686","0.075725","0.185818","0.043979","0.044271","0.165139","0.598521","0.11883"
"0.026213","0.023301","0.106015","0.017766","0.018349","0.104559","0.489593","0.069609"
"0.085046","0.070483","0.180867","0.057377","0.050386","0.164848","0.388238","0.120869"
"0.076307","0.069609","0.161644","0.050969","0.051551","0.163683","0.427557","0.10718"
"0.060289","0.055337","0.164556","0.043979","0.043687","0.153781","0.946856","0.145917"
"0.066114","0.056211","0.176207","0.048056","0.042814","0.16543","1.329269","0.115627"
"0.076017","0.053882","0.152616","0.042814","0.038736","0.152033","1.254418","0.115044"
"0.036406","0.03728","0.115917","0.024465","0.03262","0.11155","0.475904","0.073104"
"0.044561","0.0466","0.136014","0.040775","0.043106","0.129898","0.48668","0.081841"
"0.061454","0.071647","0.125238","0.052717","0.054173","0.119996","0.477652","0.133102"
"0.070774","0.065531","0.20504","0.073687","0.049804","0.106016","0.492797","0.091162"
"0.046309","0.041067","0.104559","0.047474","0.036115","0.096113","0.531242","0.080094"
"0.054173","0.050095","0.116792","0.050095","0.041066","0.110093","0.459886","0.089414"
"0.074269","0.065241","0.137761","0.062619","0.058832","0.126111","0.557454","0.09553"
"0.043105","0.024757","0.102521","0.036115","0.025921","0.094948","0.475613","0.064949"
"0.059997","0.043397","0.092618","0.042232","0.038154","0.087084","0.252514","0.108927"
"0.042231","0.036697","0.100191","0.036115","0.032038","0.093491","0.264165","0.087084"
"0.043687","0.042232","0.101356","0.040193","0.039027","0.099317","0.368141","0.105142"
"0.036115","0.022135","0.099608","0.042232","0.047474","0.092036","0.228632","0.069318"
"0.040483","0.035824","0.098442","0.035824","0.032329","0.090288","0.229215","0.093783"
"0.048057","0.038445","0.106598","0.02796","0.028252","0.096696","0.327658","0.084462"
"0.037863","0.031456","0.106598","0.025921","0.02563","0.101646","0.346298","0.090579"
"0.034368","0.029708","0.09553","0.02563","0.02563","0.092909","0.300863","0.161935"
"0.045435","0.061163","0.088541","0.033494","0.035533","0.078347","0.227175","0.076308"
"0.041358","0.03262","0.081259","0.033494","0.029416","0.076599","0.367267","0.073977"
"0.066405","0.058833","0.130189","0.057668","0.050969","0.121743","0.375714","0.119995"
"0.074852","0.059998","0.179993","0.066114","0.055337","0.165431","0.635509","0.118248"
"0.077473","0.058832","0.133685","0.064949","0.04893","0.128442","0.360569","0.087666"
"0.051551","0.03728","0.130771","0.045727","0.042814","0.122908","0.44474","0.075434"
"0.041357","0.03495","0.11621","0.036116","0.031455","0.111549","0.432217","0.07689"
"0.047474","0.047183","0.122325","0.043396","0.052134","0.103103","0.310764","0.075143"
"0.055629","0.053008","0.123199","0.046309","0.046309","0.115918","0.37251","0.071939"
"0.018349","0.019805","0.103977","0.015146","0.016893","0.102812","0.441537","0.048931"
"0.050386","0.036406","0.129024","0.04194","0.038154","0.122034","0.577841","0.071939"
"0.113879","0.041358","0.131937","0.049513","0.034367","0.108054","0.379791","0.071939"
"0.049222","0.042232","0.105724","0.036698","0.039319","0.098734","0.372509","0.069318"
"0.044853","0.042813","0.117083","0.036989","0.038154","0.109511","0.433964","0.070482"
"0.030581","0.044853","0.1165","0.024465","0.052716","0.104268","0.398431","0.073687"
"0.035823","0.033785","0.101647","0.030582","0.03029","0.095822","0.405421","0.098152"
"0.035824","0.030581","0.103394","0.029999","0.037572","0.100773","0.452313","0.065823"
"0.039319","0.036989","0.112131","0.03262","0.033785","0.104268","0.449692","0.069609"
"0.039901","0.042523","0.117083","0.043979","0.041357","0.110384","0.563862","0.077473"
"0.038153","0.029708","0.113005","0.032329","0.02563","0.105724","0.680944","0.061454"
"0.050678","0.047182","0.131062","0.045727","0.044853","0.11417","0.505902","0.053881"
"0.024173","0.016893","0.110384","0.021552","0.014854","0.100481","0.449109","0.083881"
"0.017184","0.01864","0.098152","0.014272","0.016892","0.096986","0.404548","0.040192"
"0.052425","0.03961","0.117083","0.04427","0.035241","0.110675","0.599977","0.075434"
"0.056503","0.043397","0.126694","0.051843","0.038445","0.118248","0.627064","0.052717"
"0.052425","0.046309","0.116792","0.043979","0.040775","0.109219","0.424935","0.090579"
"0.050095","0.039319","0.113005","0.043396","0.034368","0.10718","0.375714","0.065531"
"0.05126","0.039319","0.117374","0.045144","0.03495","0.110093","0.721137","0.070483"
"0.060871","0.038737","0.137179","0.052134","0.035242","0.127276","0.730166","0.080677"
"0.064075","0.051843","0.149703","0.047182","0.046309","0.12815","0.514058","0.075434"
"0.037571","0.040193","0.124364","0.030581","0.036406","0.118248","0.666673","0.09553"
"0.05126","0.038737","0.138053","0.039027","0.049512","0.127568","0.976564","0.080968"
"0.050969","0.052134","0.147665","0.049803","0.067279","0.128732","0.992875","0.064075"
"0.066114","0.080094","0.138927","0.053591","0.048931","0.145917","0.472991","0.064657"
"0.031455","0.029416","0.113879","0.025921","0.025048","0.108637","0.459885","0.054464"
"0.039319","0.037862","0.114752","0.032037","0.035533","0.104559","0.46571","0.057959"
"0.057377","0.042523","0.120869","0.042231","0.035824","0.112131","0.438041","0.048348"
