"BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","GAFES(pop:30,gen:100)","SPLConfig"
0.027086,0.018932,0.059706,0.016602,0.020097,0.050969,0.392315,0.031456
0.029125,0.018057,0.056211,0.023009,0.015727,0.050969,0.28397,0.028542
0.023883,0.01864,0.056503,0.019513,0.01631,0.050386,0.334938,0.02097
0.007864,0.007573,0.050095,0.006116,0.006407,0.045727,0.306978,0.012523
0.010194,0.012523,0.042232,0.008446,0.010485,0.038445,1.121607,0.01165
0.021843,0.014271,0.05592,0.018058,0.012232,0.050969,0.744437,0.027669
0.026213,0.020679,0.055629,0.020388,0.017184,0.050386,0.450565,0.020679
0.019805,0.018931,0.052425,0.016019,0.015728,0.048056,0.476195,0.018349
0.009903,0.008738,0.045726,0.008737,0.008155,0.041358,0.278436,0.015436
0.017766,0.012815,0.05359,0.023883,0.01165,0.050095,0.388237,0.021552
0.017767,0.012815,0.048639,0.015436,0.010776,0.044853,0.389403,0.015145
0.016892,0.016019,1.875365,0.015145,0.015145,0.046891,0.341346,0.01864
0.02097,0.014562,0.057667,0.016892,0.012815,0.052134,0.382995,0.023591
0.017767,0.018932,0.05359,0.014562,0.015728,0.047765,0.389402,0.02097
0.019805,0.018931,0.051551,0.016019,0.015728,0.047765,0.354452,0.020097
0.019223,0.013106,0.053008,0.015728,0.011359,0.048056,0.36785,0.019805
0.016892,0.015145,0.052134,0.012815,0.012232,0.046601,0.399887,0.018931
0.019222,0.014271,0.050969,0.015145,0.014563,0.046017,0.413576,0.019805
0.019805,0.012524,0.051551,0.016018,0.010776,0.045726,0.31659,0.018349
0.016601,0.014854,0.047765,0.013106,0.012815,0.043105,0.454934,0.014563
0.011941,0.011359,0.047765,0.008446,0.009611,0.043979,4.69409,0.019223
0.014271,0.012524,0.060289,0.011359,0.010194,0.044853,0.308144,0.016602
0.021553,0.017767,0.050096,0.02796,0.015728,0.046309,0.339307,0.024465
0.01398,0.017475,0.05126,0.013689,0.014854,0.047182,0.375713,0.01631
0.022426,0.018057,0.050677,0.018349,0.015727,0.0466,0.277271,0.018931
0.024756,0.018931,0.05359,0.02097,0.01631,0.048639,0.277271,0.021552
0.014854,0.008155,0.047474,0.011941,0.007281,0.042814,0.323289,0.014562
0.01165,0.006116,0.049804,0.009903,0.014854,0.046309,0.387364,0.00932
0.017184,0.012233,0.0466,0.014563,0.010485,0.042523,0.398432,0.024465
0.020096,0.010485,0.057958,0.015727,0.013397,0.052716,0.395519,0.027087
0.019222,0.020388,0.059124,0.01631,0.016892,0.044853,0.267077,0.023008
0.016893,0.010485,0.051551,0.01398,0.00932,0.047766,0.339016,0.018931
0.006407,0.006698,0.017184,0.005534,0.005825,0.015727,1.5646,0.017767
0.025921,0.019805,0.056503,0.020387,0.016892,0.052134,0.285425,0.033203
0.023592,0.019223,0.058542,0.019805,0.016892,0.050678,0.280474,0.02097
0.021262,0.014563,0.05825,0.017475,0.012523,0.054755,0.365812,0.019222
0.018349,0.020679,0.050387,0.014562,0.018057,0.045726,0.360277,0.019223
0.015436,0.012523,0.046309,0.012232,0.00932,0.042522,0.674537,0.012233
0.017475,0.01631,0.050095,0.014562,0.014271,0.045435,0.294164,0.013688
0.010194,0.00932,0.047765,0.008446,0.007864,0.043105,0.292124,0.013107
0.019223,0.015145,0.050969,0.015728,0.012815,0.04893,0.240282,0.015436
0.008737,0.007572,0.040775,0.007281,0.006698,0.036115,0.308435,0.012524
0.013398,0.012815,0.043979,0.011359,0.010777,0.039028,0.266495,0.015436
0.01398,0.012524,0.044852,0.012232,0.010485,0.040775,0.403383,0.014271
0.012815,0.015437,0.041358,0.010485,0.008738,0.038154,0.530368,0.010776
0.023009,0.014562,0.055337,0.023301,0.014854,0.052134,0.206205,0.018348
0.009903,0.008446,0.041067,0.007864,0.007281,0.037571,0.354453,0.011942
0.031747,0.013398,0.053008,0.014854,0.011068,0.047474,0.316881,0.018057
0.013689,0.008446,0.050386,0.013689,0.011359,0.047474,0.429887,0.017183
0.014563,0.012523,0.049804,0.011068,0.013106,0.045144,0.347462,0.018057
0.015437,0.017475,0.054172,0.014854,0.014853,0.049512,0.993166,0.016019
0.013397,0.020096,0.066114,0.018641,0.016893,0.046309,0.386489,0.023883
0.013688,0.012524,0.039027,0.011942,0.011359,0.036407,0.32358,0.017475
0.018057,0.011359,0.040776,0.014271,0.009612,0.067279,0.205332,0.024174
0.007864,0.007281,0.031455,0.006116,0.006116,0.045435,0.644538,0.010485
0.010776,0.010485,0.040193,0.009028,0.008446,0.036989,0.286883,0.020679
0.014563,0.010194,0.043396,0.012815,0.009611,0.036988,0.178828,0.016892
0.014854,0.010194,0.037863,0.012524,0.00932,0.035242,0.182906,0.017767
0.010485,0.00932,0.033493,0.010776,0.007864,0.028542,0.208244,0.018931
0.014272,0.012232,0.038736,0.012815,0.009612,0.034659,0.174459,0.017766
0.013398,0.01165,0.058542,0.012524,0.009903,0.040193,0.435712,0.017475
0.007282,0.006117,0.015145,0.006117,0.005534,0.013689,0.304066,0.017766
0.017475,0.010485,0.039902,0.01398,0.00932,0.035532,0.195429,0.016893
0.018931,0.01398,0.03961,0.01631,0.016019,0.036407,0.220186,0.024465
0.01631,0.013106,0.036115,0.01398,0.011359,0.033203,0.233874,0.021553
0.019223,0.01165,0.036406,0.015145,0.010193,0.032911,0.162518,0.023883
0.010485,0.005825,0.037572,0.009029,0.00932,0.033202,0.226593,0.014271
0.011942,0.007864,0.036115,0.010194,0.007281,0.033203,0.17213,0.015436
0.012524,0.009903,0.057376,0.011359,0.011068,0.039319,0.248145,0.019223
0.016019,0.010776,0.041066,0.013398,0.00932,0.038154,0.234166,0.019514
0.013106,0.012232,0.043105,0.010777,0.010193,0.039028,0.240864,0.016893
0.020096,0.011941,0.057376,0.01631,0.010485,0.052426,0.35154,0.018058
0.034368,0.014853,0.057959,0.015146,0.013397,0.05359,0.631431,0.01631
0.021552,0.015145,0.072521,0.020097,0.014854,0.053008,0.284843,0.027087
0.020096,0.017184,0.056503,0.015727,0.015727,0.051842,0.305231,0.027669
0.020387,0.009029,0.057086,0.008446,0.007573,0.051843,0.383286,0.010194
0.023882,0.017184,0.086793,0.022426,0.016893,0.052717,0.308144,0.025921
0.020679,0.013398,0.059416,0.016892,0.011068,0.078347,0.429013,0.02097
0.023592,0.021261,0.063784,0.019222,0.018931,0.059124,0.408916,0.027669
0.019805,0.013398,0.064075,0.015436,0.011941,0.066697,1.184808,0.021553
0.017184,0.012232,0.060872,0.016602,0.010485,0.058541,0.276688,0.022426
0.018057,0.016892,0.058542,0.014272,0.014563,0.054172,0.412702,0.017183
0.02097,0.015145,0.05825,0.022718,0.015436,0.058541,0.779387,0.022427
0.012815,0.014563,0.05126,0.00932,0.012232,0.056211,1.505184,0.013689
0.019513,0.013398,0.05592,0.016019,0.010776,0.050386,0.573182,0.014272
0.02097,0.014271,0.061162,0.017184,0.011941,0.055047,0.62415,0.018058
0.015436,0.01165,0.057668,0.011941,0.009029,0.053007,0.315425,0.025631
0.012815,0.012232,0.022718,0.01165,0.011068,0.022135,0.403382,0.020096
0.010193,0.010193,0.050095,0.008737,0.008155,0.046601,0.350957,0.014272
0.020971,0.014272,0.059124,0.017184,0.011941,0.054464,0.704827,0.01864
0.009903,0.009029,0.04893,0.008446,0.007572,0.049221,0.314551,0.01864
0.020679,0.015728,0.056212,0.01631,0.013397,0.05126,0.267077,0.020388
0.013107,0.014854,0.056211,0.020388,0.012815,0.054464,0.282513,0.012815
0.018348,0.010485,0.052425,0.017183,0.011068,0.049221,0.38416,0.023591
0.011359,0.011942,0.046891,0.008737,0.010194,0.043396,4.701372,0.012524
0.013689,0.013398,0.049513,0.010776,0.02097,0.058541,0.676576,0.020679
0.022427,0.017766,0.059124,0.016018,0.015727,0.054756,0.329696,0.015437
0.028542,0.019513,0.091744,0.03262,0.018057,0.066988,0.555707,0.021261
0.026212,0.022427,0.069609,0.022718,0.01864,0.068444,0.750262,0.026795
0.0233,0.016602,0.063493,0.018058,0.013398,0.057959,0.690265,0.021262
0.018349,0.019513,0.062036,0.014272,0.016311,0.058541,0.828318,0.023591
0.023883,0.02097,0.062619,0.020096,0.016893,0.057377,0.359112,0.018931
0.022135,0.021844,0.061163,0.01864,0.018931,0.057085,0.334647,0.017767
0.029998,0.01165,0.03728,0.01165,0.01165,0.024757,0.307852,0.017475
