"BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","GAFES(pop:30,gen:100)","SPLConfig"
0.027378,0.016311,0.07689,0.021552,0.014271,0.072522,0.552794,0.026213
0.026795,0.023009,0.077182,0.020678,0.018348,0.069609,0.906664,0.035824
0.027378,0.013689,0.077182,0.020097,0.011068,0.071356,1.466157,0.034367
0.023009,0.026213,0.073104,0.018932,0.022136,0.065823,0.387072,0.029707
0.023009,0.014562,0.076599,0.01864,0.012524,0.069318,0.527455,0.0233
0.033203,0.024174,0.087667,0.023883,0.017766,0.07456,0.585706,0.036406
0.031164,0.009903,0.080094,0.025921,0.01165,0.064658,0.690847,0.02563
0.031746,0.024465,0.085337,0.02097,0.022135,0.078929,0.662304,0.029998
0.032911,0.017475,0.081842,0.023009,0.018057,0.076598,0.761912,0.031455
0.019514,0.013689,0.075434,0.015436,0.014271,0.068736,0.403965,0.017766
0.021553,0.011941,0.035824,0.017184,0.014562,0.032038,0.457555,0.032038
0.018932,0.011067,0.076016,0.015145,0.009611,0.085628,0.558619,0.024466
0.031746,0.026795,0.077764,0.023591,0.021262,0.073395,0.64483,0.027086
0.014854,0.011067,0.070483,0.011359,0.010777,0.06524,0.517844,0.028542
0.030581,0.019514,0.083298,0.024465,0.01631,0.07456,0.496,0.033203
0.029417,0.025339,0.108054,0.02796,0.020388,0.089706,0.637548,0.020388
0.041067,0.022135,0.09087,0.034659,0.013689,0.093491,0.864724,0.03262
0.027378,0.024757,0.096112,0.022426,0.021262,0.086793,1.077919,0.027669
0.026795,0.020096,0.06757,0.02097,0.017184,0.062036,0.397267,0.042814
0.021261,0.019805,0.067861,0.017475,0.016602,0.064949,0.508815,0.022426
0.040775,0.031164,0.090871,0.031746,0.027086,0.085628,0.681235,0.029708
0.032038,0.023883,0.083006,0.025921,0.019514,0.07689,0.899965,0.041648
0.031746,0.029999,0.081259,0.023882,0.024466,0.07456,0.871422,0.029708
0.023883,0.021552,0.078346,0.01864,0.018058,0.072522,0.928216,0.033494
0.033493,0.023009,0.094365,0.029416,0.021261,0.075434,0.468914,0.029125
0.028543,0.025339,0.078346,0.023882,0.022135,0.07223,0.421148,0.027669
0.012815,0.010777,0.034076,0.010194,0.009611,0.029416,0.482603,0.023882
0.029707,0.0233,0.089123,0.02563,0.020678,0.069027,0.397558,0.027961
0.016893,0.015145,0.027669,0.014853,0.014271,0.026504,0.4028,0.024465
0.027377,0.019222,0.068444,0.023009,0.01631,0.064075,0.394936,0.033494
0.020388,0.017184,0.075434,0.017475,0.015145,0.0699,0.569686,0.023009
0.022427,0.016602,0.064075,0.021262,0.017767,0.059416,0.263582,0.02563
0.026212,0.017767,0.060871,0.021844,0.017767,0.052716,0.228341,0.043979
0.031746,0.014563,0.052717,0.017184,0.012524,0.047474,0.298241,0.02563
0.018349,0.012523,0.048639,0.01631,0.01165,0.048057,0.248728,0.022426
0.017766,0.01631,0.037863,0.013398,0.01398,0.034659,0.145626,0.027377
0.012524,0.01165,0.040484,0.011068,0.010777,0.036989,0.364938,0.017475
0.010194,0.00932,0.043979,0.008737,0.008447,0.040484,0.243777,0.02097
0.01631,0.011067,0.050387,0.013689,0.010194,0.046017,0.36086,0.019805
0.007864,0.00699,0.050969,0.006116,0.006407,0.04427,0.223098,0.045144
