"BT+HTC+MCF","BT+HTC+MVW","BT+HTC+MHV","BT+HMO+MCF","BT+HMO+MVW","BT+HMO+MHV","GAFES(pop:30,gen:100)","SPLConfig"
0.934789582,0.934789582,1,0.934789582,0.934789582,1,0.577422432,1.15560417
1,1,1,1,1,1,0.939351362,1.509527137
1,0.959873206,1,1,0.959873206,1,0.810068935,1.268409933
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.849614743,0.737306204
1,1,1,1,1,1,0.8472338,1.101677776
1,1,1,1,1,1,0.828683788,1
1,1,1,1,0.965162145,1,0.891154399,1
1,1,1,1,1,1,0.90519409,1.006906077
1,1,1,1,1,1,0.501524769,1
1,1,1,1,0.979449188,1,1,1
1,1,1,1,1,1,0.650133184,1.134028079
1,1,1,1,1,1,0.717750863,0.96423368
1,1,1,1,1,1,0.573493147,1
1,1,1,0.914104236,0.991039315,1,0.90146438,0.960181702
1,1,1,1,1,1,0.799816349,1
1,1,1,1,1,1,0.968162391,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.714212417,0.920126758
1,1,1,0.973818034,0.973818034,1,0.790092047,0.906218977
1,1,1,1,1,1,0.871738909,1.054525495
1,1,1,1,1,1,0.648073131,0.971050431
1,1,1,1,1,1,0.717109983,1
1,1,1,1,1,1,0.527384167,1
1,1,1,1,0.970872381,1,0.99147996,1
1,1,1,1,1,1,0.840130196,1
1,1,1,1,1,1,0.934673564,1
1,1,1,1,1,1,0.695773686,1
1,1,1,1,1,1,1,1
1,1,1,1,0.94995511,1,0.74172969,1.028168896
1,1,1,1,1,1,0.586744218,0.842993648
1,1,1,1,1,1,0.759013832,1
1,1,1,1,1,1,0.741598377,0.865616958
1,1,1,0.897485924,0.589919579,0.897485924,0.897485924,0
1,1,1,1,1,1,0.964906525,1
1,1,1,1,0.973661302,1,0.942018253,0.942018253
1,1,1,1,1,1,0.794647482,1
1,1,1,0.990342574,1,1,0.97141465,0.990342574
1,1,1,1,1,1,0.844471478,0.757975729
1,1,1,1,1,1,0.839475571,0
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.622431107,1.160369735
1,1,1,1,1,1,0.556465638,0
1,1,1,1,1,1,0.935587034,0.994272821
1,1,1,1,1,1,0.744515034,1
1,1,1,1,1,1,0.361703711,1.102802368
1,1,1,1,1,1,0.647832759,0.960847746
1,1,1,1,0.995553517,1,0.320381136,0
0.940176291,0.940176291,1,0.940176291,0.940176291,1,0.91181755,1.117438379
1,1,1,1,0.810494722,1,0.411783432,1.29576205
1,1,1,0.974121892,1,1,0.820481914,0.505434279
1,1,1,1,1,1,0.912154833,0.935525113
1,1,1,1,1,1,0.684208748,1
1,1,1,1,1,1,0.794859408,0.900274999
1,1,1,1,1,1,0.493403578,0
1,1,1,1,1,1,0.72911159,1.018663272
1,1,1,1,1,1,0.798164132,1
1,1,1,1,0.983574387,1,0.751036403,0.690335497
1,1,1,1,1,1,0.781973137,1
1,1,1,1,1,1,0.791501094,1
1,1,1,1,1,1,0.799043396,1
1,1,1,1,1,1,0.743645374,1.018139442
1,1,1,1,1,1,0.886464447,0.775248524
1,1,1,1,1,1,0.95861919,1
1,1,1,1,1,1,0.796391915,1
1,1,1,1,1,1,0.719420319,0.951316473
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.739858738,0.914236308
1,1,1,1,1,1,0.82185047,1
1,1,1,0.907730141,0.907730141,1,0.954458995,0.954458995
1,1,1,1,0.970430922,1,0.89559303,0.981693023
1,1,1,1,0.906389852,1,0.832627376,1
1,1,1,1,1,1,0.974558732,0.863417803
1,1,1,0.973011895,1,1,0.935110019,0.973011895
1,1,1,1,1,1,0.865988261,1
1,1,1,1,1,1,0.752683433,1
1,1,1,1,1,1,0.850921996,1
1,1,1,0.999197745,0.999197745,1,0.982522132,1
1,1,1,1,0.978402991,1,0.987899341,1
1,1,1,1,1,1,0.792360095,1
1,1,1,1,1,1,0.749844051,1
1,1,1,1,1,1,0.887824641,1
1,1,1,1,1,1,0.805771414,1
1,1,1,1,1,1,0.900508541,0.976494835
1,1,1,1,1,1,0.439112503,1
1,1,1,1,1,1,0.742352209,0.90925564
1,1,1,1,1,1,0.837434523,1.022301915
1,1,1,1,1,1,0.891562415,1
1,1,1,1,1,1,0.986851803,1
1,1,1,1,0.974721491,1,0.672422128,1
1,1,1,1,1,1,0.802264028,1
1,1,1,1,1,1,0.842475397,1
1,1,1,1,1,1,0.944980429,1
1,1,1,1,1,1,0.717442868,0.795609986
1,1,1,1,1,1,1,1
1,1,1,1,0.879074055,1,0.753349688,0.879074055
1,1,1,0.976812947,1,1,0.913313046,0.988918053
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.967369835,1
1,1,1,1,1,1,0.851990351,0.861391958
1,1,1,1,1,1,0.774436392,0.929742224
1,1,1,1,1,1,0.897321682,1
1,1,1,0.971872829,1,1,0.890957386,0.958375334
1,1,1,1,1,1,0.828962781,0.902058391
1,1,1,1,1,1,0.743255864,0.98239621
1,1,1,1,1,1,0.749640993,1
1,1,1,1,1,1,0.763633238,1
1,1,1,1,1,1,0.994718331,1
1,1,1,1,1,1,0.921947224,1
1,1,1,1,1,1,0.845980121,1.011551469
1,1,1,1,1,1,0.92201115,1
