"BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","GAFES(pop:30,gen:100)","SPLConfig"
1,1,1,1,1,1,0.962936392,1.088345066
1,1,1,1,1,1,0.543081953,1
0.947241141,1,1,0.947241141,1,1,0.941175682,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.445909937,1
1,1,1,1,1,1,0.492092325,1.139897696
0.83661338,1,1,0.83661338,1,1,1,1
1,1,1,1,1,1,0.973353859,0.84655402
1,1,1,0.943289069,1,1,0.943289069,0.943289069
1,0.990553221,1,1,0.990553221,1,0.976435237,0.990553221
1,1,1,1,1,1,1,1
1,0.991839006,1,1,0.991839006,1,0.762776747,1.063671662
1,0.937860068,0.961239262,1,0.937860068,0.961239262,0.984469379,1.10413515
1,1,1,1,1,1,0.621642141,0.946489156
1,1,1,1,1,1,0.766396869,0.96250515
1,1,1,1,1,1,0.531590462,0.926287636
0.948592081,1,1,0.948592081,0.9307017,1,1,1.027930477
1,1,1,1,1,1,0.888800101,0.93602244
1,0.941891516,1,1,0.941891516,1,0.941891516,0.941891516
1,1,1,1,1,1,0.343626503,1
1,1,1,1,1,1,0.991505777,1
0.928404874,1,1,0.928404874,1,1,1,1
1,1,1,0.963123687,1,1,0.79914052,0.848944269
0.960057128,1,1,0.960057128,1,1,0.722380412,0.916191599
1,0.963605183,1,1,0.963605183,1,0.616354337,0.963605183
1,1,1,1,1,1,1,1
1,1,1,1,0.7190435,1,1,0
1,1,1,1,1,1,1.140278232,0.939321498
1,1,1,1,0.824561785,1,0.54132428,1.153915972
1,1,1,1,1,1,0.577815846,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.713512099,1
1,1,1,1,1,1,0.685838126,1
1,1,1,1,1,1,0.610770728,1
1,1,1,1,1,1,0.677367375,1.153484609
1,0.807025112,1,1,0.807025112,1,0.724689112,1.142591713
1,1,1,1,1,1,0.787571069,1
0.889024878,1,1,0.889024878,1,1,0.876537407,1
1,1,1,1,1,1,0.727226706,0.840810721
1,1,1,1,1,1,0.713009732,0.403114961
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.847913392,0.887966215
0.973039679,1,1,0.973039679,1,1,1,0.973039679
1,0,1,1,0,1,1,0
1,1,1,1,0.949616299,1,0.692307048,0.863276244
1,1,1,1,1,1,1,1
0.94268111,1,1,0.94268111,1,1,0.750432483,0.990898692
1,1,1,0.966429182,0.966429182,0.966429182,0.775199151,1
1,1,1,1,0.957078432,1,0.960725872,1
1,1,1,0.905895486,1,1,0.901377064,0.966610729
0.862457992,0.862457992,1,1,0.862457992,1,0.612462541,0.893035558
0.933904106,1,0.933904106,0.933904106,1,0.933904106,0.920819829,1
1,1,1,1,1,1,0.560937408,1
1,1,1,1,1,1,1,1
0.853317307,1,1,0.853317307,1,1,0.850253565,1
1,1,1,1,1,1,0.825593066,0.538236718
1,1,1,1,1,1,0.88309459,1
1,1,1,1,1,1,0.999012415,1
1,1,1,1,1,1,0.896355541,1
1,1,1,1,1,1,0.862301512,1.384990955
1,1,1,1,1,1,1.417307309,1.458588522
1,1,1,1,1,1,0.878986624,1
1,1,1,1,1,1,0.747491893,1
1,1,1,1,1,1,0.722077044,1
1,1,1,1,1,1,0.662201075,1
1,1,1,1,0.912423158,1,1,0.979958636
0.957232574,0.957232574,1,0.957232574,0.957232574,1,0.882164266,1.062044997
0.899912082,1,1,0.899912082,0.894036404,1,0.777568891,1.067913284
1,1,1,1,1,1,0.53928969,1
0.891818535,0.891899147,1,0.891818535,0.891899147,1,0.888251928,1.110980052
0.928613093,1,1,0.928613093,1,1,1,1
0.998109734,1,0.998109734,0.998109734,1,0.998109734,0.942571297,1
