B&B-HB-MHV,BestFS-HB-MHV,B&B-HB-MVPWU,BestFS-HB-MVPWU,B&B-HB-MCF,BestFS-HB-MCF,01LP,BoolOpt
0.145334,0.09087,0.023008,0.02097,0.017766,0.011359,0.311348,0.317755
0.113588,0.127568,0.052717,0.043397,0.034367,0.027669,0.235039,0.209409
0.116792,0.103102,0.052717,0.040193,0.043105,0.036697,0.712983,0.715312
0.100191,0.091744,0.03961,0.028252,0.0233,0.017475,0.287756,0.256301
0.098443,0.090579,0.028251,0.020387,0.023592,0.018057,0.421732,0.403965
0.094074,0.085337,0.047474,0.036406,0.041358,0.033494,0.357365,0.332608
0.090579,0.081841,0.04194,0.030872,0.03029,0.021261,0.357656,0.324454
0.113879,0.086501,0.037863,0.030582,0.028251,0.020388,0.290377,0.250767
0.103977,0.094366,0.046309,0.032329,0.031455,0.022427,0.348336,0.336394
0.090871,0.083589,0.034659,0.025339,0.021261,0.014562,0.30727,0.378626
0.044853,0.037862,0.041649,0.025048,0.036115,0.029999,0.504156,0.449692
0.10019,0.076308,0.029999,0.021553,0.017475,0.01165,0.348627,0.287756
0.125529,0.107181,0.058833,0.055338,0.055047,0.047474,0.627937,0.595899
0.080094,0.069318,0.031746,0.022427,0.015727,0.009611,0.329696,0.35387
0.093783,0.084754,0.029125,0.02097,0.026795,0.018931,0.236204,0.320085
0.08854,0.080095,0.035824,0.022718,0.020679,0.014563,0.278145,0.337851
0.085919,0.078929,0.043979,0.034659,0.029125,0.022136,0.255427,0.322997
0.080676,0.073396,0.036115,0.025048,0.026213,0.017475,0.359695,0.433672
0.08155,0.079803,0.035823,0.026795,0.025922,0.020388,0.259213,0.249602
0.096113,0.085045,0.042522,0.034076,0.034368,0.024174,0.426391,0.36785
0.098734,0.089705,0.030582,0.022135,0.031455,0.023591,0.24669,0.29591
0.089414,0.084172,0.041941,0.034076,0.033494,0.027669,0.390276,0.34921
0.08854,0.076308,0.048057,0.027378,0.033203,0.025339,0.249019,0.243486
0.081551,0.073978,0.029708,0.022426,0.023882,0.016893,0.291834,0.25601
0.081842,0.075434,0.033785,0.026795,0.048347,0.039901,0.212322,0.205914
0.076891,0.069026,0.035533,0.027378,0.033494,0.026504,0.435129,0.386199
0.033494,0.028834,0.020678,0.015437,0.023009,0.015437,0.207661,0.263582
0.071648,0.065822,0.031164,0.024757,0.032911,0.026795,0.226302,0.223099
0.028251,0.025339,0.024465,0.018058,0.019514,0.01398,0.235914,0.219021
0.07689,0.0699,0.035824,0.027669,0.032037,0.023883,0.319502,0.322705
0.078055,0.072521,0.033786,0.026503,0.027669,0.024465,0.245524,0.226302
0.07922,0.071065,0.02796,0.020971,0.034368,0.024465,0.213486,0.254845
0.073104,0.066406,0.039027,0.029707,0.033494,0.02563,0.200963,0.234457
0.08155,0.073687,0.058833,0.035532,0.055046,0.03728,0.481146,0.401635
0.071356,0.070774,0.031746,0.022135,0.030581,0.022135,0.22339,0.200381
0.064075,0.05825,0.03961,0.032038,0.03495,0.025922,0.199507,0.170091
0.072813,0.066405,0.035241,0.026213,0.027669,0.021553,0.483767,0.409499
0.070774,0.064075,0.025339,0.01864,0.019805,0.01398,0.236787,0.219021
0.079802,0.073395,0.036989,0.029998,0.03961,0.041357,0.291251,0.417945
0.068735,0.061745,0.019514,0.012524,0.012815,0.00699,0.241447,0.226302
0.067279,0.061745,0.032621,0.0233,0.027086,0.019806,0.201837,0.183779
0.073978,0.066114,0.019223,0.013689,0.03029,0.021843,0.200089,0.30261
0.072522,0.068735,0.027669,0.020388,0.031455,0.024174,0.233583,0.244068
0.099317,0.094366,0.041066,0.03262,0.049804,0.034659,0.253389,0.215817
0.084754,0.074852,0.027378,0.019223,0.023883,0.017767,0.327948,0.313094
0.08854,0.080385,0.036407,0.027669,0.037862,0.029999,0.234166,0.218438
0.093201,0.084463,0.043979,0.036698,0.041358,0.035241,0.295328,0.267951
0.080386,0.072522,0.030873,0.022426,0.029416,0.021553,0.229505,0.292998
0.083589,0.077764,0.064949,0.052133,0.10485,0.063784,0.274941,0.285426
0.085337,0.092909,0.026504,0.019805,0.024756,0.017475,0.235039,0.294746
0.085045,0.076891,0.037862,0.043105,0.031455,0.024757,0.251058,0.226885
0.094366,0.085045,0.07456,0.040775,0.042232,0.03495,0.22106,0.190478
0.080968,0.073687,0.03029,0.0233,0.028834,0.021261,0.593278,0.593278
0.07922,0.07223,0.04893,0.026795,0.036406,0.02796,0.214361,0.189021
0.099899,0.094365,0.055046,0.047474,0.046017,0.03728,0.473574,0.368723
0.085336,0.074852,0.021261,0.014272,0.015436,0.010194,0.274358,0.266494
0.101064,0.096404,0.067861,0.054755,0.063492,0.05592,0.466002,0.477069
0.096696,0.089414,0.050095,0.039901,0.053881,0.052134,0.250476,0.240864
0.085627,0.077764,0.032038,0.0233,0.033785,0.025047,0.236496,0.253971
0.089123,0.081259,0.050969,0.041358,0.054173,0.042232,0.538232,0.723759
0.078638,0.069027,0.018931,0.012233,0.013689,0.008155,0.253679,0.255135
0.089705,0.082424,0.036989,0.029125,0.03728,0.029416,0.219603,0.210865
0.088249,0.07922,0.03728,0.029416,0.052716,0.033203,0.368141,0.345715
0.093783,0.087957,0.055629,0.038445,0.034367,0.027087,0.305522,0.253679
0.101064,0.094656,0.027669,0.027086,0.035824,0.026795,0.291542,0.273485
0.101064,0.086502,0.047474,0.031746,0.03961,0.024756,0.324453,0.318629
0.071939,0.063784,0.024756,0.018931,0.020387,0.012232,0.233874,0.227467
0.08854,0.079803,0.031455,0.03495,0.036406,0.0233,0.274941,0.246107
0.092035,0.082424,0.03728,0.029708,0.047765,0.038154,0.259213,0.224845
0.088832,0.085337,0.045144,0.036989,0.119413,0.069901,0.359695,0.323288
0.092036,0.086501,0.036407,0.028251,0.058541,0.035241,0.257466,0.312221
0.101646,0.078638,0.081841,0.065822,0.110093,0.085337,0.290086,0.25834
0.09786,0.092035,0.046017,0.037863,0.06058,0.052134,0.189604,0.189313
0.07922,0.072521,0.024174,0.015728,0.038445,0.03262,0.223389,0.399887
0.088249,0.080968,0.040192,0.034077,0.053299,0.03728,0.23038,0.237952
0.090579,0.082715,0.041649,0.03262,0.034368,0.026213,0.226302,0.297367
0.095821,0.089414,0.03495,0.02796,0.039319,0.027378,0.241156,0.258631
0.095822,0.087084,0.031455,0.02563,0.040483,0.032037,0.210284,0.591239
0.094948,0.08854,0.041649,0.036698,0.03728,0.030872,0.169799,0.158731
0.074852,0.070192,0.020097,0.014271,0.020096,0.013689,0.242612,0.21407
0.07223,0.065823,0.019514,0.013398,0.014272,0.010194,0.259505,0.343093
0.076599,0.068153,0.025048,0.017767,0.018641,0.012815,0.315134,0.38882
0.086502,0.07922,0.037281,0.02796,0.034658,0.026795,0.243485,0.289794
0.089706,0.080968,0.036698,0.027086,0.031747,0.023591,0.230088,0.234749
0.099317,0.091162,0.055047,0.036407,0.045144,0.036989,0.24669,0.211157
0.106307,0.099025,0.053299,0.043687,0.062036,0.065532,0.382121,0.356783
0.144752,0.098152,0.049513,0.04194,0.079802,0.059706,0.196303,0.180867
0.106016,0.089414,0.028834,0.0233,0.033494,0.025921,0.256592,0.308144
0.087667,0.078347,0.040775,0.032329,0.028543,0.021844,0.354161,0.387655
0.087084,0.076891,0.039902,0.031164,0.050095,0.039027,0.269699,0.278727
0.110966,0.104559,0.092326,0.080385,0.092618,0.076308,0.338434,0.327366
0.093492,0.086502,0.029708,0.02796,0.014562,0.008446,0.292707,0.26533
0.087958,0.077473,0.040193,0.022718,0.031455,0.0233,0.243486,0.221642
0.091744,0.10019,0.035533,0.03029,0.036698,0.028834,0.223389,0.404547
0.090579,0.083589,0.055629,0.04427,0.07223,0.059707,0.416488,0.396684
0.091744,0.093782,0.038736,0.03029,0.040484,0.029708,0.315134,0.361442
0.090288,0.084171,0.038736,0.029708,0.022717,0.01631,0.225137,0.394354
0.081259,0.073395,0.040193,0.031747,0.02796,0.021261,0.562987,0.54959
0.083007,0.076307,0.033785,0.025339,0.034659,0.026795,0.25601,0.417945
0.092909,0.084172,0.040193,0.028834,0.030872,0.0233,0.252806,0.230671
0.096113,0.088249,0.031747,0.023009,0.039319,0.031164,0.261543,0.260378
0.099899,0.091162,0.033202,0.025339,0.031163,0.024173,0.313969,0.316008
0.090579,0.083007,0.044853,0.024174,0.039319,0.032037,0.238534,0.237369
0.081259,0.073396,0.047474,0.0233,0.015436,0.010194,0.288921,0.304357
0.076016,0.0699,0.018931,0.012815,0.014562,0.008446,0.284552,0.279601
0.099025,0.090579,0.043396,0.033202,0.045436,0.03961,0.284552,0.295328
0.097569,0.092326,0.037862,0.029707,0.037572,0.028543,0.290668,0.275523
0.092909,0.085628,0.046309,0.036989,0.04194,0.03262,0.241738,0.237661
0.109219,0.082424,0.040484,0.029707,0.040193,0.03262,0.585123,0.290668
0.099899,0.092035,0.046891,0.037572,0.040192,0.036406,0.207662,0.210283
0.096404,0.084171,0.045144,0.034368,0.044852,0.03495,0.261835,0.256884
0.092326,0.104267,0.035532,0.027669,0.046891,0.038737,0.227759,0.296785
0.101646,0.089705,0.038445,0.029416,0.045435,0.03728,0.312803,0.355909
0.105142,0.093492,0.030581,0.022135,0.035241,0.026795,0.29329,0.306688
0.108345,0.099025,0.037571,0.052134,0.03728,0.02796,0.297076,0.255718
0.089414,0.08621,0.077764,0.050096,0.06757,0.057376,0.466875,0.573181
0.076017,0.068444,0.021844,0.016019,0.023591,0.016019,0.252223,0.251641
0.092326,0.083881,0.035532,0.028834,0.035532,0.023591,0.275814,0.248146
0.087958,0.103394,0.029417,0.019805,0.03262,0.024756,0.24465,0.317755
0.091744,0.089414,0.041066,0.03262,0.041066,0.033786,0.270863,0.232418
0.097569,0.089705,0.061163,0.050095,0.059416,0.049513,0.58891,0.613083
0.104559,0.09087,0.078638,0.069609,0.100191,0.083298,0.394936,0.521048
0.105724,0.098734,0.055629,0.048348,0.064366,0.048639,0.269116,0.256592
0.096113,0.087375,0.040775,0.032328,0.041941,0.03961,0.251641,0.228924
0.088249,0.080968,0.032912,0.026504,0.030872,0.024756,0.250476,0.24669
0.106889,0.099608,0.042523,0.034076,0.043688,0.035824,0.214943,0.216691
0.080967,0.071066,0.027377,0.020096,0.025921,0.018349,0.317172,0.386781
0.077473,0.070191,0.02097,0.014854,0.018058,0.011068,0.363772,0.338142
0.089996,0.087084,0.05825,0.053299,0.046018,0.033786,0.320958,0.341928
0.106015,0.0932,0.099316,0.085337,0.075434,0.05126,0.611626,0.57988
0.075143,0.06757,0.0233,0.015145,0.015437,0.008155,0.40513,0.416489
