Num ineq rest,B&B+HTC+MHV,BestFS+HTC+MHV,B&B+HTC+MVPWU,BestFS+HTC+MVPWU,B&B+HTC+MCF,BestFS+HTC+MCF,01LP,BoolOpt
0 ineq rest,0.172712,0.159023,0.069901,0.057959,0.082133,0.061745,0.140092,0.142131
0 ineq rest,0.263582,0.173877,0.102521,0.083297,0.105433,0.089414,0.115627,0.100773
0 ineq rest,0.143004,0.128733,0.039319,0.03029,0.045435,0.032912,0.164266,0.142131
0 ineq rest,0.151451,0.145335,0.052425,0.042231,0.059415,0.045726,0.123782,0.108345
0 ineq rest,0.149703,0.138345,0.055047,0.043105,0.079512,0.048057,0.136888,0.144461
0 ineq rest,0.14446,0.133393,0.061163,0.04427,0.062328,0.047183,0.136888,0.175041
0 ineq rest,0.161644,0.145625,0.053881,0.039901,0.060871,0.043978,0.159023,0.147664
0 ineq rest,0.181449,0.16776,0.064658,0.051551,0.072812,0.056502,0.212322,0.135432
0 ineq rest,0.190478,0.179994,0.066988,0.053008,0.072522,0.056794,0.15844,0.145043
0 ineq rest,0.177954,0.153781,0.092327,0.059124,0.076308,0.056794,0.136306,0.136888
0 ineq rest,0.171838,0.154654,0.077473,0.060872,0.075434,0.057377,0.131063,0.131063
0 ineq rest,0.160188,0.24902,0.032037,0.029416,0.051551,0.025921,0.329696,0.203002
0 ineq rest,0.230088,0.241739,0.094947,0.103394,0.1232,0.085919,0.214943,0.177954
0 ineq rest,0.270572,0.168343,0.079221,0.049804,0.091744,0.059416,0.231836,0.228923
0 ineq rest,0.219312,0.186401,0.109511,0.089997,0.088249,0.068735,0.173294,0.142713
0 ineq rest,0.196303,0.175333,0.106016,0.08621,0.07689,0.063784,0.155237,0.138927
0 ineq rest,0.158149,0.153781,0.082716,0.05359,0.059124,0.040775,0.174168,0.145917
0 ineq rest,0.166304,0.15349,0.042231,0.033493,0.063202,0.044271,0.184361,0.167761
0 ineq rest,0.183197,0.161935,0.072521,0.059706,0.096112,0.069609,0.216108,0.168926
0 ineq rest,0.187857,0.178828,0.050386,0.038153,0.066405,0.052425,0.209409,0.173877
0 ineq rest,0.163392,0.149411,0.055921,0.042522,0.063784,0.048347,0.193973,0.173294
0 ineq rest,0.187275,0.175333,0.07689,0.061162,0.073395,0.056503,0.250767,0.25135
0 ineq rest,0.187274,0.174168,0.040193,0.032038,0.041941,0.030582,0.219021,0.260378
0 ineq rest,0.076308,0.063493,0.04194,0.034367,0.05592,0.038736,0.160771,0.159023
0 ineq rest,0.166304,0.167178,0.05359,0.029416,0.147373,0.029999,0.229797,0.199216
0 ineq rest,0.184944,0.16281,0.064075,0.062619,0.068153,0.073395,0.179702,0.154362
0 ineq rest,0.17912,0.17009,0.027669,0.024757,0.042523,0.031455,0.222807,0.189604
0 ineq rest,0.173294,0.209701,0.064949,0.061745,0.061745,0.051842,0.195429,0.312803
