B&B+HTC+MHV,BestFS+HTC+MHV,B&B+HTC+MVPWU,BestFS+HTC+MVPWU,B&B+HTC+MCF,BestFS+HTC+MCF,01LP,BoolOpt
0.098443,0.092035,0.035533,0.024757,0.039027,0.03495,0.306687,0.391732
0.104559,0.097569,0.03495,0.028542,0.045727,0.036698,0.325619,0.31659
0.095239,0.086793,0.027378,0.020097,0.027377,0.020096,0.339016,0.565609
0.105724,0.100481,0.030581,0.024174,0.041067,0.03961,0.640752,0.632306
0.102812,0.129024,0.030873,0.023883,0.045144,0.032911,0.347463,0.324745
0.093201,0.107762,0.024465,0.016601,0.01864,0.012524,0.297076,0.482602
0.107763,0.115335,0.038154,0.046308,0.044561,0.034659,0.580463,0.313095
0.115918,0.108346,0.059124,0.048348,0.075434,0.038736,0.886568,0.765989
0.111549,0.10252,0.037571,0.029708,0.089705,0.031164,0.54027,0.584832
0.135432,0.13718,0.072522,0.059124,0.120578,0.10718,0.54493,0.411828
0.096112,0.085628,0.029708,0.021844,0.029999,0.02097,0.322123,0.376296
0.104559,0.091453,0.044852,0.026795,0.053299,0.038445,0.227176,0.230088
0.099025,0.089706,0.033785,0.023591,0.022136,0.015436,0.182324,0.453769
0.101355,0.092909,0.030873,0.023592,0.031455,0.024174,0.672207,0.657645
0.0932,0.087375,0.023591,0.015437,0.020678,0.014271,0.208244,0.17446
0.119413,0.098734,0.050968,0.042522,0.079802,0.078346,0.394063,0.368433
0.096113,0.086211,0.017184,0.009611,0.025047,0.018058,0.206205,0.473283
0.118247,0.090579,0.036989,0.02563,0.033203,0.027086,0.202711,0.283679
0.105724,0.10951,0.028543,0.021843,0.039319,0.031164,0.198924,0.439498
0.110675,0.108055,0.050969,0.041358,0.073104,0.053298,0.646286,0.773562
0.117957,0.103103,0.063202,0.046892,0.066697,0.056502,0.494835,0.345423
0.179993,0.152907,0.070482,0.066988,0.548426,0.215526,0.201837,0.204458
0.112422,0.101938,0.03029,0.022717,0.030581,0.024465,0.202128,0.230089
0.167178,0.149994,0.071939,0.062619,0.325036,0.18844,0.627354,0.816085
0.145626,0.142713,0.068444,0.061454,0.081841,0.071065,0.723759,0.749389
0.110675,0.106015,0.030872,0.023883,0.041357,0.032038,0.193973,0.188731
0.123199,0.110966,0.048056,0.02796,0.036406,0.027086,0.195429,0.305231
0.115044,0.108928,0.058833,0.064075,0.149412,0.120286,0.34222,0.33057
0.120578,0.101355,0.033203,0.031163,0.059998,0.043396,0.450274,0.583084
0.112714,0.106598,0.035241,0.027086,0.091453,0.055338,0.61483,0.609589
0.133975,0.155237,0.062619,0.062036,0.087375,0.08854,0.906373,0.858025
0.130189,0.127568,0.169217,0.128733,0.110093,0.090579,0.587161,0.591821
0.196303,0.16077,0.107472,0.095239,0.079511,0.0699,0.466875,0.473282
0.136014,0.105724,0.090579,0.081259,0.119995,0.068152,0.453478,0.449691
0.129606,0.137179,0.075434,0.064949,0.076307,0.066988,0.511436,0.462507
0.119413,0.108928,0.052716,0.041649,0.073395,0.055046,0.372509,0.371928
0.157276,0.148247,0.092909,0.082424,0.184945,0.168634,0.767154,0.69376
0.119122,0.114753,0.058542,0.050387,0.07223,0.090288,0.602598,0.743272
0.118831,0.098734,0.030873,0.023009,0.031164,0.013689,0.546387,0.622403
0.10718,0.094947,0.036115,0.027086,0.03728,0.026213,0.466875,0.545513
0.103685,0.094074,0.035823,0.026504,0.037862,0.045144,0.840259,0.763078
0.126694,0.113006,0.057667,0.048348,0.08621,0.05825,1.001611,1.137917
0.097569,0.087958,0.023882,0.016019,0.022135,0.015145,0.47503,0.637839
0.098735,0.091161,0.02563,0.018057,0.025339,0.017475,0.33523,0.44008
0.102229,0.093783,0.028833,0.020679,0.037572,0.023591,0.536484,0.555415
0.133101,0.109801,0.077181,0.052716,0.061745,0.055047,0.333191,0.415615
0.112422,0.10252,0.021262,0.014271,0.030291,0.021844,0.252223,0.257757
0.141257,0.122325,0.029708,0.023882,0.042231,0.029125,0.510272,0.594152
0.119122,0.11184,0.054464,0.036698,0.064949,0.057667,0.169799,0.166887
0.122908,0.113297,0.053882,0.046018,0.071939,0.061454,0.419692,0.497748
0.115044,0.103394,0.036115,0.028834,0.049221,0.03029,0.375131,0.318629
0.163683,0.154655,0.096987,0.082133,0.084754,0.063493,0.65881,0.624442
0.138636,0.137762,0.053881,0.042523,0.064075,0.049804,0.385907,0.45872
0.156111,0.145334,0.096987,0.072231,0.068736,0.057668,0.775892,0.797154
0.141257,0.13048,0.070774,0.054464,0.087084,0.076017,0.394354,0.512311
0.140092,0.117374,0.039028,0.04194,0.072522,0.049221,0.325909,0.632597
0.178537,0.150868,0.108927,0.104268,0.239117,0.217273,0.479107,0.464254
0.134557,0.151742,0.05825,0.045144,0.042232,0.04427,0.494253,0.637839
0.154072,0.141547,0.079802,0.075725,0.108636,0.076017,0.592987,0.614249
0.143296,0.134267,0.099026,0.058833,0.055046,0.042232,0.991127,1.122481
0.157858,0.162227,0.068153,0.05825,0.121161,0.087958,0.683274,0.708613
0.103394,0.09553,0.026212,0.01864,0.024465,0.017184,0.269698,0.460467
0.097569,0.091161,0.021261,0.014853,0.021844,0.011941,0.278435,0.354161
0.119122,0.109219,0.049512,0.04194,0.055338,0.046309,0.584832,0.477069
0.113006,0.116792,0.029708,0.023009,0.055047,0.029125,0.297076,0.300571
0.107472,0.108927,0.034077,0.026795,0.034659,0.026795,0.242029,0.253679
0.124364,0.116501,0.042814,0.033785,0.064949,0.045144,0.197177,0.177954
0.196011,0.189313,0.189895,0.172712,0.201837,0.145626,1.312085,1.32257
0.110093,0.098734,0.018349,0.011359,0.017766,0.011359,0.31193,0.385616
0.186692,0.175333,0.116792,0.117957,0.298532,0.24902,0.681819,0.808513
0.130189,0.122325,0.061454,0.065532,0.126986,0.112714,0.354743,0.694925
0.118248,0.103103,0.053007,0.037863,0.046309,0.035824,0.925596,0.667547
