B&B-HB-MHV,BestFS-HB-MHV,B&B-HB-MVPWU,BestFS-HB-MVPWU,B&B-HB-MCF,BestFS-HB-MCF,01LP,BoolOpt
0.060289,0.050095,0.038154,0.02097,0.038736,0.021552,0.380374,0.311347
0.080968,0.073104,0.05825,0.048348,0.078929,0.067279,0.431634,0.380956
0.056503,0.049222,0.020097,0.014853,0.02563,0.021843,0.115626,0.098734
0.04893,0.041067,0.009612,0.006117,0.009611,0.005533,0.159315,0.130189
0.050095,0.043688,0.023009,0.01631,0.024465,0.01864,0.382412,0.38183
0.068152,0.06058,0.034367,0.026212,0.029999,0.022135,3.605104,0.688517
0.088249,0.062328,0.03961,0.02796,0.044271,0.03262,0.159314,0.175915
0.057377,0.048639,0.024756,0.017475,0.023592,0.017766,0.288921,0.241447
0.050387,0.042814,0.012233,0.007572,0.011067,0.007281,0.170673,0.200963
0.061454,0.05359,0.023301,0.016601,0.023009,0.017184,0.146499,0.21174
0.052425,0.047182,0.016601,0.012233,0.020679,0.015145,0.282222,0.23999
0.053591,0.046018,0.022717,0.016018,0.025339,0.019805,0.290085,0.350666
0.071065,0.054464,0.027378,0.016893,0.024174,0.018057,0.136305,0.18844
0.05126,0.045144,0.012524,0.008447,0.022135,0.016019,0.363772,0.52629
0.053591,0.047474,0.023591,0.015727,0.024174,0.017184,0.211448,0.324453
0.058541,0.052425,0.017766,0.01165,0.0233,0.016602,0.166887,0.162809
0.056503,0.049804,0.022135,0.015727,0.018931,0.013688,0.134558,0.215817
0.066114,0.057668,0.031455,0.026504,0.030582,0.023883,0.403382,0.474448
0.062036,0.054172,0.036989,0.027087,0.034368,0.0233,0.208244,0.259213
0.056503,0.048639,0.028834,0.022427,0.033203,0.024174,2.22137,0.219312
0.049804,0.042814,0.021552,0.012232,0.016601,0.01165,0.242903,0.344841
0.050969,0.042232,0.015436,0.010194,0.014272,0.009611,0.234749,0.248729
0.053007,0.046018,0.018931,0.013689,0.02796,0.01864,0.220768,0.204167
0.055338,0.048056,0.020096,0.014272,0.015145,0.010194,0.15378,0.145334
0.057668,0.050969,0.028543,0.020096,0.050095,0.041649,0.422023,0.473865
0.06058,0.059415,0.033494,0.028251,0.073396,0.048056,0.173877,0.1465
0.047474,0.040775,0.016019,0.010776,0.015728,0.010193,0.208827,0.263582
0.054755,0.042232,0.013688,0.008737,0.010776,0.005825,0.145334,0.14213
0.050677,0.045143,0.019222,0.014563,0.029999,0.019805,0.145916,0.124656
0.061163,0.053591,0.018058,0.012815,0.023882,0.018931,0.115336,0.119704
0.049804,0.043688,0.020096,0.014562,0.050095,0.03262,0.233292,0.234166
0.050678,0.044562,0.017475,0.012815,0.024174,0.019514,0.179993,0.152033
0.018349,0.014854,0.009029,0.005534,0.014562,0.011359,0.234166,0.272319
0.061745,0.048639,0.018058,0.013398,0.036407,0.026213,0.206788,0.196886
0.056503,0.050095,0.02563,0.01864,0.036989,0.025922,0.252806,0.288338
0.055629,0.049512,0.021261,0.014563,0.030291,0.023882,0.265912,0.281639
0.063784,0.05126,0.01864,0.012815,0.021261,0.014271,0.135141,0.140675
0.051842,0.044561,0.021553,0.016019,0.01631,0.012233,0.291542,0.378627
0.066114,0.058832,0.03262,0.026795,0.039901,0.03262,0.339307,0.323288
0.050386,0.042814,0.012815,0.008446,0.013106,0.008447,0.138636,0.132519
0.053299,0.047473,0.027377,0.02097,0.034368,0.027378,0.224263,0.286591
0.045435,0.038445,0.011359,0.006699,0.011942,0.007572,0.153489,0.140966
0.049221,0.043105,0.016602,0.011941,0.017184,0.011941,0.301445,0.303775
0.052716,0.046891,0.01864,0.013398,0.025921,0.016019,0.277271,0.365811
0.052425,0.060872,0.019223,0.013106,0.016602,0.012524,0.153198,0.129898
0.067861,0.059706,0.020679,0.015436,0.02563,0.015436,0.116209,0.522213
0.050095,0.042231,0.014854,0.009611,0.012524,0.008155,0.200963,0.25863
0.057959,0.050678,0.034076,0.027378,0.026504,0.019514,0.28397,0.387946
0.056503,0.054172,0.018058,0.012233,0.017766,0.011941,0.154072,0.211157
0.055629,0.048348,0.024465,0.01631,0.030581,0.018349,0.263873,0.345715
0.071065,0.049221,0.032911,0.022426,0.032911,0.023591,0.380083,0.406003
0.057085,0.053007,0.01631,0.01398,0.016019,0.011359,0.145916,0.12815
0.054173,0.047474,0.029125,0.019222,0.02796,0.02097,0.392024,0.409207
0.055047,0.048348,0.022718,0.016018,0.033785,0.020679,0.11417,0.117666
0.04194,0.036115,0.01165,0.006699,0.010776,0.006698,0.161062,0.222807
0.052134,0.044852,0.019514,0.013106,0.015436,0.010485,0.23504,0.250767
0.059707,0.05359,0.025339,0.019806,0.029416,0.023883,0.285135,0.216108
0.05825,0.056794,0.027377,0.02097,0.036697,0.040776,0.448235,0.440954
0.047182,0.040484,0.016893,0.01165,0.014853,0.010485,0.268243,0.243195
0.059706,0.052134,0.030873,0.023592,0.036698,0.028542,0.383578,0.489301
0.07223,0.048348,0.029125,0.01631,0.021261,0.015145,0.276397,0.40746
0.025339,0.022135,0.014563,0.007864,0.010776,0.00699,0.255719,0.243486
0.052717,0.0466,0.01864,0.01631,0.0233,0.016893,0.196012,0.188731
0.05592,0.050969,0.027377,0.021844,0.029999,0.024756,0.181158,0.172712
0.058542,0.052717,0.024756,0.01864,0.03262,0.026212,0.496001,0.278436
0.057376,0.052717,0.025339,0.02097,0.034367,0.025339,0.143005,0.135432
0.050095,0.043978,0.016893,0.011068,0.01631,0.010777,0.148538,0.136306
0.051551,0.044853,0.022718,0.015145,0.017183,0.013106,0.237661,0.236204
0.054755,0.046891,0.01864,0.013107,0.021262,0.015436,0.181741,0.169217
0.052425,0.0466,0.027086,0.017475,0.019805,0.014272,0.122908,0.169217
0.05359,0.047182,0.016019,0.010776,0.020388,0.014854,0.155528,0.138053
0.06058,0.052716,0.016892,0.012233,0.03029,0.023591,0.306978,0.195139
0.075726,0.066987,0.036697,0.030581,0.033203,0.025048,0.192226,0.167178
0.064366,0.056794,0.032037,0.02563,0.035533,0.028833,0.366685,0.327948
0.062036,0.054173,0.020388,0.014854,0.02796,0.02097,0.12815,0.120578
0.056503,0.050678,0.012524,0.008155,0.012524,0.008446,0.172129,0.258631
0.063493,0.055629,0.036115,0.023883,0.028834,0.023009,0.14912,0.119122
0.06757,0.061454,0.029999,0.011942,0.023883,0.017766,0.167761,0.14679
0.090579,0.080094,0.032911,0.026504,0.048347,0.036698,0.331152,0.331735
0.077181,0.071357,0.028542,0.022136,0.02796,0.022427,0.230962,0.230089
0.076016,0.057959,0.025339,0.018931,0.025922,0.016602,0.193681,0.178537
0.066696,0.057959,0.01864,0.013689,0.022718,0.016892,0.315716,0.305523
0.083007,0.071648,0.047765,0.03728,0.050096,0.038445,0.294163,0.27465
0.063784,0.055629,0.021552,0.015727,0.019805,0.01398,0.346297,0.268534
0.076308,0.057377,0.017475,0.011941,0.022135,0.018349,0.152907,0.138345
0.072521,0.064657,0.021844,0.015727,0.021552,0.015727,0.267368,0.274941
0.066697,0.057959,0.011359,0.006699,0.016601,0.011359,0.177955,0.217564
0.026795,0.0233,0.017183,0.013107,0.01398,0.010193,0.145917,0.154655
0.056502,0.04893,0.010193,0.006408,0.012816,0.008447,0.191934,0.173003
0.066696,0.059124,0.027669,0.020678,0.026796,0.020678,0.468332,0.178536
0.053882,0.047766,0.013689,0.008737,0.013398,0.008447,0.150285,0.126111
0.07456,0.057959,0.016019,0.010776,0.021261,0.015145,0.124364,0.204749
0.059124,0.05126,0.015728,0.011068,0.015145,0.010194,0.16747,0.19572
0.059415,0.051552,0.03961,0.019805,0.025339,0.01864,0.133102,0.184362
0.054464,0.047765,0.013398,0.008737,0.016601,0.010776,0.276106,0.391441
0.054755,0.049221,0.019514,0.013689,0.033202,0.024757,0.203585,0.161644
0.064075,0.076307,0.025047,0.019223,0.027377,0.021262,0.27698,0.336686
0.073687,0.064949,0.027378,0.019805,0.04194,0.02796,0.152615,0.509106
0.069318,0.089414,0.052425,0.022135,0.031746,0.026212,0.278144,0.194264
0.068152,0.061162,0.031455,0.023592,0.028542,0.031746,0.148538,0.133393
0.07223,0.062619,0.043106,0.02563,0.033785,0.025339,0.611627,0.521048
0.072521,0.066988,0.035242,0.029125,0.04194,0.036697,0.177372,0.303483
0.060871,0.065823,0.024466,0.014854,0.031455,0.022717,0.212613,0.233292
0.028834,0.024174,0.014272,0.009902,0.016892,0.012815,0.135141,0.15145
0.064658,0.061454,0.02563,0.032037,0.031163,0.025339,0.366102,0.365229
0.026796,0.022427,0.016893,0.012815,0.013689,0.00932,0.259505,0.223972
0.06058,0.054755,0.025048,0.018932,0.027087,0.018931,0.279892,0.27261
0.059124,0.052716,0.022426,0.016601,0.023591,0.017184,0.241156,0.241738
0.064367,0.053881,0.01864,0.01398,0.028251,0.021553,0.147373,0.117956
0.055629,0.050095,0.033494,0.026504,0.036407,0.029125,0.368724,0.4261
0.060289,0.052425,0.0233,0.013398,0.039319,0.040484,0.382121,0.468622
0.062327,0.055337,0.018348,0.012815,0.024174,0.015145,0.157275,0.136014
0.069026,0.063201,0.04893,0.038154,0.110967,0.073978,0.194555,0.165721
0.071648,0.068444,0.030581,0.026212,0.03262,0.025338,0.345423,0.433672
0.053882,0.046892,0.014562,0.009902,0.013688,0.008155,0.199215,0.277854
0.066696,0.05592,0.04427,0.02563,0.029998,0.025048,0.382995,0.332899
0.052134,0.057086,0.009903,0.005533,0.009611,0.005534,0.164848,0.149121
0.053008,0.046891,0.013689,0.00932,0.012815,0.008155,0.26533,0.352705
0.065241,0.057377,0.012815,0.008737,0.021261,0.016019,0.138635,0.415906
0.054755,0.061454,0.018057,0.012232,0.021844,0.019222,0.143878,0.200381
0.095239,0.082133,0.048348,0.039319,0.068735,0.054173,0.534446,0.436294
0.073104,0.06524,0.018349,0.012524,0.021261,0.016602,0.201836,0.210865
0.070483,0.061746,0.076308,0.033785,0.042232,0.033494,0.393771,0.442118
0.081842,0.07456,0.043687,0.034659,0.049513,0.042522,0.216108,0.207953
0.069901,0.063201,0.022718,0.015727,0.023591,0.017183,0.186401,0.361734
0.08155,0.089414,0.030872,0.024465,0.036406,0.036115,0.118539,0.117083
0.075434,0.069317,0.02563,0.020096,0.029126,0.016601,0.149412,0.341928
0.080968,0.072522,0.046309,0.03262,0.040192,0.031163,0.478817,0.645703
0.078056,0.065823,0.03495,0.029125,0.059998,0.051552,0.311056,0.317463
0.070483,0.065532,0.033785,0.026504,0.033494,0.02563,0.483185,0.513184
0.068444,0.060289,0.031746,0.02097,0.038445,0.039027,0.350957,0.33756
0.097569,0.075143,0.039611,0.042231,0.043396,0.035532,0.319503,0.358239
0.073395,0.068735,0.013689,0.009029,0.016602,0.014854,0.16514,0.165721
0.085919,0.070482,0.027087,0.021552,0.03495,0.026795,0.26766,0.24203
0.072813,0.06524,0.028834,0.0233,0.062328,0.038154,0.178828,0.176206
0.0699,0.062328,0.020679,0.01398,0.024756,0.017475,0.14912,0.198051
0.076891,0.0699,0.030581,0.020678,0.034658,0.026213,0.269698,0.270863
0.076308,0.05825,0.011941,0.00699,0.010485,0.006116,0.159897,0.161645
0.075143,0.064949,0.039319,0.023883,0.032329,0.024174,0.138635,0.189896
0.070191,0.062036,0.039028,0.028834,0.069318,0.049222,0.266204,0.239408
0.079512,0.077181,0.030873,0.018349,0.025921,0.020096,0.178537,0.141839
0.077182,0.093491,0.023591,0.014854,0.027086,0.022717,0.272902,0.256592
0.085336,0.077181,0.02097,0.015145,0.024173,0.017766,0.314551,0.273775
0.063493,0.050095,0.013107,0.016018,0.011067,0.006408,0.229214,0.415324
0.07223,0.063493,0.021843,0.016019,0.023008,0.016892,0.203876,0.170964
0.068444,0.106307,0.031746,0.024465,0.094074,0.055338,0.378043,0.394062
0.073978,0.064075,0.041067,0.033202,0.03262,0.025921,0.442702,0.442119
0.075434,0.065531,0.027669,0.017766,0.036698,0.019223,0.157858,0.146207
0.066114,0.059124,0.032038,0.024757,0.048348,0.026795,0.602015,0.231545
0.088831,0.080386,0.036698,0.029125,0.066987,0.05592,0.538231,0.385033
0.06291,0.05592,0.023009,0.016602,0.019805,0.013689,0.175916,0.249602
0.0699,0.068736,0.027378,0.020679,0.029998,0.023591,0.181158,0.238243
0.077182,0.065531,0.02097,0.014854,0.026795,0.020679,0.143587,0.204167
0.072812,0.066114,0.026212,0.020097,0.075142,0.036698,0.13747,0.249019
0.077181,0.070483,0.025047,0.018931,0.018058,0.012815,0.132519,0.652693
0.100773,0.103976,0.064949,0.056503,0.091744,0.06757,0.424935,0.459011
0.064367,0.059706,0.015727,0.010485,0.014271,0.010193,0.250184,0.242903
0.063784,0.055629,0.014272,0.00932,0.013398,0.008738,0.172421,0.165722
0.05825,0.050095,0.012815,0.007864,0.011942,0.007281,0.228923,0.304066
0.070192,0.062328,0.02563,0.019223,0.027961,0.021261,0.148247,0.145625
0.069026,0.062619,0.021261,0.015437,0.043688,0.024465,0.15378,0.204749
0.087958,0.075725,0.05126,0.044853,0.089414,0.055047,0.241156,0.246107
0.092618,0.085627,0.030581,0.023883,0.105142,0.073686,0.419693,0.400761
0.091162,0.091744,0.047474,0.03961,0.045435,0.052425,0.126694,0.101646
0.079512,0.070192,0.019805,0.014271,0.027086,0.020097,0.149995,0.138926
0.071939,0.064367,0.016892,0.011942,0.027961,0.017766,0.141257,0.142713
0.069609,0.062036,0.021552,0.01631,0.024174,0.01864,0.198051,0.202128
0.078929,0.071065,0.047766,0.04427,0.072813,0.054172,0.219895,0.256592
0.071065,0.064075,0.011941,0.007281,0.01165,0.00699,0.235039,0.18873
0.078638,0.0699,0.030291,0.020387,0.016602,0.011359,0.261835,0.323288
0.094365,0.073104,0.02796,0.018932,0.037571,0.03029,0.144461,0.310764
0.087376,0.078347,0.040193,0.031455,0.035533,0.028834,0.342802,0.355034
0.079512,0.071356,0.023592,0.017475,0.024174,0.017766,0.263,0.376588
0.090288,0.071065,0.018349,0.013107,0.017184,0.010777,0.139218,0.416489
0.081842,0.086502,0.038445,0.029708,0.031746,0.023882,0.376587,0.405421
0.073104,0.081259,0.023591,0.017184,0.028543,0.02097,0.158149,0.231253
0.088249,0.075143,0.025921,0.020387,0.027669,0.020679,0.505029,0.504155
0.074561,0.067861,0.050095,0.039028,0.031164,0.024465,0.27028,0.259796
0.091161,0.082133,0.019514,0.010485,0.026213,0.019222,0.218147,0.208827
0.089414,0.081259,0.047473,0.037863,0.047182,0.046601,0.34455,0.383577
0.081259,0.071648,0.01631,0.010194,0.014854,0.010194,0.195721,0.18174
0.075726,0.069901,0.012524,0.008155,0.011359,0.007281,0.211157,0.179411
0.095822,0.080967,0.032912,0.02563,0.034367,0.026213,0.284843,0.251349
0.089414,0.087084,0.021261,0.014563,0.040484,0.027087,0.386781,0.355909
0.08155,0.077764,0.034368,0.028542,0.032911,0.025922,0.143878,0.136596
