"Model(Num features)","B&B+HB+MCF","B&B+HB+MVW","B&B+HB+MHV","BestFS+HB+MCF","BestFS+HB+MVW","BestFS+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","JavaPseudoBooleanLPalgorithm-SAT4J"
"Nudelsalat(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.8246658432056219","1.0","1.0","0.8246658432056219","1.0","1.0"
"MK Andes(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"SPL Studies(10)","1.0","1.0","1.0","1.0","1.0","1.0","0.9410437780340387","1.0","1.0","1.0","1.0","1.0","1.0"
"Telefono(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Mobile Phone(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"jjjjj(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"celular(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Bandymas(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"test 3(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9697919193034804","1.0","1.0","1.0","1.0","1.0"
"LXEP(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Feature Tree Example(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9517171188524114","1.0","1.0","0.9517171188524114","1.0","1.0"
"Sample(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Mobile Tourist Planner(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"votacao eletronica(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Car(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.981655278059906","1.0","1.0","0.981655278059906","1.0","1.0"
"Mobile Phone(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Test1(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Maquina de Cae(10)","1.0","1.0","1.0","1.0","1.0","1.0","0.8729598376374262","0.947842368114477","1.0","0.8729598376374262","0.947842368114477","1.0","1.0"
"Autosoft(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"SPL_e_commerce(10)","1.0","1.0","1.0","1.0","1.0","1.0","0.9306192031528769","0.9306192031528769","1.0","1.0","1.0","1.0","1.0"
"Autosoft(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Minimalistic PC Feature Model(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Match engine(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Mobile Phone UPT(10)","1.0","1.0","1.0","1.0","1.0","1.0","0.8508381590491102","1.0","1.0","0.8508381590491102","1.0","1.0","1.0"
"Mobile Phone UPT - 18413(10)","1.0","1.0","1.0","1.0","1.0","1.0","0.7185988738010735","0.7185988738010735","1.0","1.0","1.0","1.0","1.0"
"Manuel(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.7465037619824973","1.0","1.0","0.7465037619824973","1.0","1.0"
"E-portal(11)","1.0","1.0","1.0","1.0","1.0","1.0","0.9766846360792198","0.9766846360792198","1.0","0.9766846360792198","0.9766846360792198","1.0","1.0"
"VOD feature model(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Asghar(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"MyFeatureModel(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.873751587870864","1.0","1.0","1.0","1.0","1.0"
"SmartHome_vConejero_r1(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"ETRobocon(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Test(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9565239284689454","1.0","1.0","0.9565239284689454","1.0","1.0"
"ordem(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"desordem(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"UPL(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Mauricio Alférez(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
