"Model(Num features)","B&B+HTC+MCF","B&B+HTC+MVW","B&B+HTC+MHV","BestFS+HTC+MCF","BestFS+HTC+MVW","BestFS+HTC+MHV","BT+HMO+MCF","BT+HMO+MVW","BT+HMO+MHV","BT+HTC+MCF","BT+HTC+MVW","BT+HTC+MHV","JavaPseudoBooleanLPalgorithm-SAT4J"
"Eleição de um prefeito e um vereador(14)","0.03728","0.031163","0.085919","0.028251","0.026503","0.105723","0.036697","0.031164","0.088249","0.034949","0.031455","0.094074","0.490465"
"LeSE - Learning Software Engineering(14)","0.035242","0.028834","0.109219","0.024465","0.022717","0.101646","0.028834","0.032329","0.089414","0.0233","0.021844","0.09553","0.237078"
"LeSE - Learning Software Engineering (Aprendendo Engenharia de Software)(14)","0.032328","0.027086","0.096986","0.023301","0.021553","0.089414","0.023591","0.021552","0.085627","0.0233","0.022426","0.089996","0.25397"
"Clinica Medica(14)","0.037572","0.027668","0.07922","0.028251","0.021844","0.071648","0.028834","0.021844","0.063201","0.028542","0.022718","0.072521","0.611042"
"Celulares(14)","0.030873","0.03262","0.117665","0.022426","0.027086","0.109219","0.023009","0.025921","0.099025","0.023009","0.027669","0.109219","0.239117"
"video on demand(14)","0.041358","0.036698","0.103394","0.031454","0.030581","0.094656","0.032328","0.029999","0.088249","0.031455","0.032329","0.095821","0.306103"
"Pizza(14)","0.048057","0.053881","0.108636","0.038736","0.047764","0.103976","0.038445","0.044852","0.10485","0.036697","0.043978","0.092908","0.289212"
"Virtual_Office_of_the_Future(14)","0.028543","0.025047","0.056794","0.029416","0.025338","0.064366","0.023592","0.019805","0.045435","0.021844","0.021261","0.050677","0.119121"
"Search_Engine_PL(14)","0.053008","0.034368","0.127276","0.03961","0.029999","0.119704","0.040484","0.03262","0.108053","0.040775","0.028834","0.118247","0.258047"
"JPlug(14)","0.027377","0.026504","0.079802","0.019805","0.023883","0.075142","0.020679","0.021261","0.063201","0.019805","0.021844","0.073104","0.132519"
"James(14)","0.027377","0.021843","0.058833","0.031746","0.020679","0.059124","0.021261","0.017184","0.048347","0.021261","0.018931","0.053298","0.142712"
"Cell Phone(15)","0.035533","0.049221","0.127859","0.029416","0.046309","0.114752","0.03029","0.043979","0.096986","0.029707","0.048347","0.113588","0.332316"
"Web Content Delivery(15)","0.057376","0.051551","0.146499","0.031747","0.035241","0.138344","0.038736","0.06524","0.143004","0.03495","0.033494","0.127859","0.35882"
"Coff Feature Model(15)","0.059706","0.060579","0.141838","0.049221","0.055047","0.134266","0.047182","0.051551","0.11883","0.064075","0.060289","0.145625","0.326491"
"VMS(15)","0.038737","0.037862","0.094073","0.028834","0.032037","0.08854","0.029126","0.030872","0.07689","0.028542","0.032328","0.086793","0.428429"
"Test(15)","0.074269","0.061745","0.105724","0.047183","0.036115","0.097859","0.036114","0.034076","0.089413","0.037571","0.036698","0.099316","0.307269"
"Venza(15)","0.029125","0.024174","0.087084","0.021261","0.019513","0.080385","0.021552","0.019222","0.075434","0.020679","0.019805","0.079511","0.569976"
"SD Voter pattern feature model(15)","0.05126","0.046308","0.126985","0.039902","0.039901","0.118539","0.040484","0.038445","0.108636","0.039902","0.039901","0.118539","0.327074"
"Technical Solution Process(15)","0.030872","0.028543","0.140091","0.021843","0.022718","0.129024","0.023009","0.023009","0.11883","0.022135","0.023009","0.127859","0.297948"
"iNavBasic(15)","0.02796","0.020388","0.039901","0.017475","0.016892","0.035242","0.01864","0.016309","0.034659","0.017475","0.016601","0.036115","0.473281"
"Transmission(15)","0.051551","0.036989","0.164556","0.03728","0.031455","0.146498","0.046308","0.036116","0.125238","0.031455","0.026213","0.133392","0.35183"
"Agile Simules(15)","0.030872","0.032038","0.085336","0.023008","0.027086","0.078638","0.022718","0.026504","0.073104","0.023009","0.027378","0.077764","0.375712"
"MobileMedia_Lenita(15)","0.032328","0.023882","0.068153","0.02563","0.019223","0.063784","0.025338","0.018931","0.05825","0.025048","0.018931","0.062036","0.444156"
"Estudo Experimental 2(15)","0.038736","0.025921","0.077472","0.028834","0.020678","0.072521","0.033202","0.022135","0.073395","0.030873","0.025921","0.073686","0.598518"
"Flight Reservations(15)","0.054173","0.05126","0.131645","0.042523","0.044853","0.124364","0.050678","0.059998","0.112131","0.059125","0.05126","0.126985","0.426972"
"MobileMedia_Ibraim(15)","0.035241","0.026213","0.082715","0.027668","0.021844","0.076016","0.027669","0.02097","0.071356","0.026795","0.021843","0.07689","0.328239"
"MobileMedia_LeonardoVasconcelos(15)","0.041649","0.047182","0.113005","0.032912","0.041066","0.107471","0.033203","0.028542","0.098442","0.032911","0.030289","0.105723","0.306686"
"MobileMedia_Bruno(15)","0.03495","0.032911","0.084171","0.026795","0.027669","0.077181","0.027669","0.02563","0.071939","0.026795","0.027378","0.077181","0.358528"
"MobileMedia_MarinaMB(15)","0.034658","0.032329","0.082424","0.026504","0.027669","0.094073","0.029125","0.0233","0.076016","0.029126","0.024465","0.083006","0.378916"
"Mobile Media(15)","0.037862","0.035242","0.176789","0.034076","0.031454","0.087667","0.030872","0.028543","0.07922","0.030291","0.031164","0.085919","0.428429"
"MobileMedia_CarlosEduardoPaulinoSilva(15)","0.035532","0.02796","0.085045","0.027378","0.022717","0.080094","0.028542","0.022136","0.073104","0.027377","0.023882","0.08155","0.359403"
"Mobile media v5(15)","0.032911","0.02796","0.067279","0.023591","0.022717","0.061454","0.024756","0.021261","0.058542","0.023883","0.022717","0.061163","0.355325"
"ACARLOS_car(15)","0.036407","0.030289","0.129606","0.025921","0.025921","0.121743","0.027669","0.024465","0.109219","0.027087","0.025048","0.122034","0.298823"
"Cars xpto(15)","0.034368","0.029999","0.119122","0.025922","0.024174","0.113297","0.026505","0.037863","0.113878","0.028252","0.026504","0.121451","0.370179"
"UPT TAM(15)","0.046599","0.040192","0.136013","0.035242","0.033786","0.126693","0.033494","0.029708","0.117956","0.033202","0.031455","0.128442","0.293581"
"Software-Product(15)","0.122616","0.074269","0.103976","0.111257","0.066114","0.098443","0.046018","0.042814","0.086793","0.048639","0.046891","0.096695","0.321831"
"Pruebas Booleanas(15)","0.042523","0.033494","0.094947","0.033203","0.028834","0.088249","0.033785","0.026796","0.082424","0.032911","0.028542","0.087667","0.404547"
"e-commerce(15)","0.055046","0.054464","0.117374","0.045435","0.048348","0.110384","0.050386","0.044852","0.110675","0.048057","0.052425","0.125238","0.442701"
"testmodel1(15)","0.041066","0.03029","0.126402","0.031163","0.025922","0.123199","0.033494","0.027087","0.115335","0.033785","0.02796","0.120869","0.364645"
"robot experiment(15)","0.026212","0.021844","0.091453","0.01864","0.016601","0.085045","0.025921","0.022426","0.078346","0.018931","0.016602","0.084172","0.542599"
"Proceso Analisis(15)","0.04427","0.035532","0.131645","0.031746","0.028834","0.12116","0.033785","0.028834","0.115335","0.031164","0.029416","0.120868","0.591529"
"Metadata(15)","0.042814","0.043979","0.16776","0.031164","0.036697","0.15844","0.032037","0.035241","0.141838","0.032037","0.038154","0.182905","0.396391"
"Urna eletronica Vinicius Cesar(15)","0.038736","0.032037","0.141839","0.027086","0.024757","0.131063","0.027669","0.023883","0.124073","0.026795","0.024756","0.128733","0.417653"
"markke core asset testing(15)","0.041357","0.034368","0.112131","0.031164","0.028251","0.10485","0.029999","0.027377","0.096404","0.030291","0.028252","0.104267","0.312802"
"Automóvil(15)","0.070483","0.057958","0.128442","0.055629","0.050969","0.106015","0.036116","0.036115","0.098734","0.03495","0.038154","0.10951","0.434254"
"CPS(15)","0.052716","0.047765","0.143586","0.040776","0.03961","0.137179","0.054173","0.04893","0.138926","0.037571","0.038154","0.126694","0.333481"
"smart phone(15)","0.056793","0.04427","0.108928","0.043979","0.038154","0.102229","0.059124","0.039319","0.096404","0.046891","0.040776","0.131645","0.387945"
"Mobile Games(16)","0.070774","0.063492","0.170673","0.059415","0.055921","0.16747","0.055338","0.052425","0.144169","0.063493","0.058833","0.1631","0.237077"
"SoftwareClassification(16)","0.032912","0.025339","0.157275","0.023883","0.02097","0.144751","0.024465","0.054172","0.143587","0.023591","0.02097","0.146789","0.255426"
"GoPhone Inc(16)","0.071356","0.06524","0.20504","0.061163","0.057668","0.195137","0.058541","0.053298","0.168052","0.061454","0.058542","0.19572","0.254843"
"Web Game(16)","0.055046","0.039027","0.110675","0.043979","0.033202","0.104267","0.028252","0.028252","0.095239","0.027377","0.028543","0.103394","0.298823"
"Simaldores de Engenharia de Software(16)","0.059998","0.052716","0.131645","0.048057","0.045144","0.124073","0.046891","0.043396","0.112131","0.04893","0.046309","0.124655","0.408624"
"Disciplina(16)","0.033203","0.021844","0.148829","0.024174","0.017766","0.137762","0.024756","0.017767","0.120868","0.024465","0.017767","0.140673","0.283386"
"Mobile Media Bruno R(16)","0.063784","0.078346","0.143586","0.056212","0.057376","0.136596","0.05592","0.054464","0.125529","0.057959","0.057377","0.135431","0.3728"
"MobileMedia_Marcelo(16)","0.046309","0.04893","0.139218","0.036115","0.042814","0.129024","0.036406","0.040193","0.128441","0.033202","0.03961","0.120286","0.32387"
"Mobile Media(16)","0.061453","0.04427","0.119995","0.050678","0.03961","0.11446","0.036697","0.036115","0.1165","0.039319","0.042231","0.12349","0.361441"
"MobileMedia_VitorSales(16)","0.063492","0.053299","0.13747","0.051842","0.045435","0.129315","0.050387","0.043396","0.11417","0.053882","0.057085","0.119412","0.401924"
"Mobile Media(16)","0.046309","0.062619","0.13514","0.039027","0.042814","0.131062","0.040484","0.040193","0.116501","0.040775","0.043979","0.171255","0.448234"
"mobile_media_thom(16)","0.048348","0.048639","0.140965","0.034659","0.039901","0.119413","0.033203","0.036697","0.110384","0.032911","0.039028","0.119995","0.331151"
"MobileMedia_BrunoMartins(16)","0.046017","0.071647","0.119995","0.035533","0.064367","0.110966","0.034658","0.029999","0.09786","0.035241","0.033494","0.159605","0.289211"
"MobileMedia_Pedro_Pires(16)","0.047765","0.045726","0.12116","0.036989","0.040774","0.112714","0.036407","0.03728","0.103103","0.036988","0.040483","0.113879","0.378042"
"MobileMedia_HudsonSilvaBorges(16)","0.079803","0.058833","0.157275","0.043979","0.049804","0.146499","0.042814","0.040484","0.129898","0.042814","0.050095","0.147663","0.462797"
"Henrique Gomes Nunes(16)","0.063201","0.057668","0.156402","0.037571","0.042814","0.122325","0.036406","0.041649","0.108928","0.036115","0.042814","0.120869","0.440079"
"Mobile Media(16)","0.047183","0.049804","0.138344","0.039028","0.044561","0.130771","0.038736","0.042231","0.114752","0.038736","0.045144","0.131062","0.299987"
"Mobile  Model(16)","0.035242","0.02563","0.12349","0.027086","0.019514","0.116209","0.027378","0.019805","0.106015","0.026213","0.020388","0.115043","0.387363"
"modelo celular(16)","0.032911","0.028833","0.113296","0.023883","0.0233","0.106306","0.025048","0.022718","0.099317","0.023883","0.0233","0.106015","0.480271"
"mobile media(16)","0.055629","0.065822","0.168926","0.041939","0.058542","0.158731","0.043396","0.054464","0.145042","0.042231","0.057667","0.160187","0.441244"
"MobileMedia7(16)","0.050968","0.061745","0.147664","0.038154","0.054172","0.1398","0.038445","0.050678","0.126985","0.038736","0.054172","0.140092","0.61279"
"modelo mobilemedia(16)","0.046309","0.038736","0.0932","0.034076","0.033203","0.087084","0.034659","0.025048","0.081841","0.033494","0.026213","0.087084","0.503863"
