"Model(Num features)","B&B+HTC+MCF","B&B+HTC+MVW","B&B+HTC+MHV","BestFS+HTC+MCF","BestFS+HTC+MVW","BestFS+HTC+MHV","BT+HMO+MCF","BT+HMO+MVW","BT+HMO+MHV","BT+HTC+MCF","BT+HTC+MVW","BT+HTC+MHV","JavaPseudoBooleanLPalgorithm-SAT4J"
"eshop(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Nudelsalat(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9127024566873763","1.0","1.0","0.9127024566873763","1.0","1.0"
"MK Andes(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"SPL Studies(10)","1.0","1.0","1.0","1.0","1.0","1.0","0.9422621435984596","1.0","1.0","1.0","1.0","1.0","1.0"
"Telefono(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Mobile Phone(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"jjjjj(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9261047394991456","1.0","1.0","1.0","1.0","1.0"
"celular(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Bandymas(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9990583215307208","1.0","1.0","0.9990583215307208","1.0","1.0"
"test 3(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9700391212186005","1.0","1.0","1.0","1.0","1.0"
"LXEP(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Feature Tree Example(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9139727260638625","1.0","1.0","0.9139727260638625","1.0","1.0"
"Sample(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Mobile Tourist Planner(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.854790739156666","1.0","1.0","0.854790739156666","1.0","1.0"
"votacao eletronica(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Car(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9817157510489267","1.0","1.0","0.9817157510489267","1.0","1.0"
"Mobile Phone(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Test1(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Maquina de Cae(10)","1.0","1.0","1.0","1.0","1.0","1.0","0.9434238375712508","1.0","1.0","0.9434238375712508","1.0","1.0","1.0"
"Autosoft(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"SPL_e_commerce(10)","1.0","1.0","1.0","1.0","1.0","1.0","0.9325177540509618","0.9325177540509618","1.0","1.0","1.0","1.0","1.0"
"Autosoft(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Minimalistic PC Feature Model(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Match engine(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9924264652376218","1.0","1.0","0.9924264652376218","1.0","1.0"
"Mobile Phone UPT(10)","1.0","1.0","1.0","1.0","1.0","1.0","0.8616267833503962","1.0","1.0","0.8616267833503962","1.0","1.0","1.0"
"Mobile Phone UPT - 18413(10)","1.0","1.0","1.0","1.0","1.0","1.0","0.5645895916672613","0.5645895916672613","1.0","1.0","1.0","1.0","1.0"
"Manuel(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.8709658664191048","1.0","1.0","0.8709658664191048","1.0","1.0"
"E-portal(11)","1.0","1.0","1.0","1.0","1.0","1.0","0.9457789399692621","0.9457789399692621","1.0","0.9457789399692621","0.9457789399692621","1.0","1.0"
"VOD feature model(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Asghar(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"MyFeatureModel(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.8779269665739091","1.0","1.0","1.0","1.0","1.0"
"SmartHome_vConejero_r1(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"ETRobocon(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Test(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9278866065354382","1.0","1.0","0.9278866065354382","1.0","1.0"
"ordem(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"desordem(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"UPL(11)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
