"Model(Num features)","B&B+HB+MCF","B&B+HB+MVW","B&B+HB+MHV","BestFS+HB+MCF","BestFS+HB+MVW","BestFS+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","JavaPseudoBooleanLPalgorithm-SAT4J"
"Mobile media v5(15)","0.044852","0.03961","0.093783","0.04893","0.036407","0.095239","0.037571","0.034658","0.091452","0.03728","0.035824","0.094365","0.625896"
"ACARLOS_car(15)","0.056503","0.049803","0.272028","0.043688","0.041066","0.194846","0.044271","0.040193","0.184943","0.043396","0.041358","0.192807","0.590655"
"Cars xpto(15)","0.077181","0.070483","0.205331","0.070482","0.068153","0.191643","0.070482","0.066114","0.182323","0.070483","0.068443","0.189604","0.611626"
"UPT TAM(15)","0.066697","0.059998","0.194846","0.052716","0.050968","0.183488","0.048348","0.045726","0.182905","0.048057","0.046309","0.189895","0.478815"
"Software-Product(15)","0.169216","0.115335","0.168634","0.163974","0.09786","0.159023","0.076598","0.070773","0.147664","0.077764","0.075725","0.159605","0.828898"
"Pruebas Booleanas(15)","0.094073","0.245524","0.212613","0.071938","0.05126","0.185818","0.085336","0.046601","0.234747","0.064657","0.049803","0.137179","0.766862"
"e-commerce(15)","0.10718","0.101938","0.192225","0.078929","0.083006","0.181158","0.087375","0.07922","0.169508","0.08621","0.077181","0.167761","0.708611"
"testmodel1(15)","0.079512","0.060871","0.232417","0.064075","0.052716","0.222806","0.089122","0.060289","0.222806","0.063493","0.052716","0.222806","0.911321"
"robot experiment(15)","0.06058","0.035532","0.147081","0.031455","0.050386","0.125237","0.033493","0.029416","0.141839","0.033203","0.031746","0.134557","0.977727"
"Proceso Analisis(15)","0.055629","0.046892","0.195137","0.041649","0.038736","0.183196","0.043396","0.038736","0.182614","0.041357","0.040484","0.186109","1.113158"
"Metadata(15)","0.065531","0.066406","0.256883","0.053881","0.081842","0.238825","0.052716","0.069318","0.223389","0.050095","0.057376","0.231544","0.728126"
"Urna eletronica Vinicius Cesar(15)","0.05592","0.043105","0.182905","0.037863","0.033494","0.17242","0.039028","0.034659","0.166595","0.037572","0.03495","0.171838","0.522794"
"markke core asset testing(15)","0.064367","0.057959","0.170964","0.051551","0.046891","0.164265","0.067862","0.047764","0.163683","0.054755","0.048347","0.171254","0.549881"
"Automóvil(15)","0.129024","0.118247","0.207079","0.101355","0.09553","0.197468","0.06524","0.076017","0.19106","0.062619","0.069318","0.196012","0.883944"
"CPS(15)","0.135722","0.119413","0.240864","0.092035","0.107472","0.227758","0.096404","0.087667","0.218729","0.066696","0.066696","0.210282","0.62211"
"smart phone(15)","0.110092","0.08854","0.211156","0.089705","0.07689","0.201253","0.090287","0.075434","0.182613","0.087958","0.074852","0.193681","0.983552"
"Mobile Games(16)","0.107471","0.096403","0.260377","0.093201","0.088249","0.253096","0.086502","0.081258","0.223098","0.093492","0.08854","0.283095","0.472699"
"SoftwareClassification(16)","0.052134","0.040483","0.241156","0.05126","0.042231","0.25863","0.04427","0.095238","0.244067","0.036406","0.035823","0.302317","0.483183"
"GoPhone Inc(16)","0.106015","0.096112","0.297367","0.089996","0.087374","0.290958","0.087375","0.081259","0.259795","0.083589","0.081258","0.264164","0.402799"
"Web Game(16)","0.088248","0.061162","0.186692","0.072813","0.05359","0.177372","0.045435","0.045144","0.168634","0.042232","0.042814","0.161935","0.507648"
"Simaldores de Engenharia de Software(16)","0.089122","0.079511","0.197468","0.076016","0.071356","0.187274","0.07456","0.066988","0.176497","0.073687","0.071356","0.189313","0.780549"
"Disciplina(16)","0.053008","0.036115","0.233873","0.040193","0.029416","0.217273","0.040192","0.029707","0.196012","0.038736","0.029416","0.21669","0.489882"
"Mobile Media Bruno R(16)","0.094657","0.087667","0.198341","0.079512","0.079802","0.210574","0.083589","0.081841","0.189312","0.084754","0.085045","0.203875","0.597645"
"MobileMedia_Marcelo(16)","0.110093","0.073103","0.20038","0.091744","0.064948","0.192807","0.062619","0.062037","0.187565","0.058833","0.059997","0.17475","0.657352"
"Mobile Media(16)","0.102811","0.073395","0.199506","0.084171","0.064658","0.188439","0.063202","0.061454","0.176206","0.061454","0.064658","0.186691","0.586578"
"MobileMedia_VitorSales(16)","0.112714","0.07922","0.203584","0.087375","0.068735","0.191934","0.078929","0.067861","0.172711","0.077181","0.070483","0.197759","0.685603"
"Mobile Media(16)","0.082133","0.073686","0.206205","0.062036","0.065823","0.197468","0.061746","0.062327","0.178536","0.06291","0.066114","0.19805","0.604927"
"mobile_media_thom(16)","0.064658","0.066987","0.212613","0.054464","0.063201","0.19339","0.053881","0.06058","0.182905","0.054755","0.063783","0.192516","0.571141"
"MobileMedia_BrunoMartins(16)","0.06291","0.096404","0.168634","0.047765","0.083297","0.146208","0.0466","0.040484","0.133683","0.046017","0.042522","0.170381","0.409789"
"MobileMedia_Pedro_Pires(16)","0.077764","0.0932","0.19805","0.061744","0.083589","0.185818","0.060872","0.062619","0.177663","0.063492","0.066696","0.199215","0.572015"
"MobileMedia_HudsonSilvaBorges(16)","0.065531","0.066697","0.17941","0.05126","0.059124","0.190768","0.054755","0.053008","0.175624","0.055338","0.065241","0.18407","0.562695"
"Henrique Gomes Nunes(16)","0.064367","0.066988","0.176498","0.050677","0.059998","0.166595","0.050678","0.057959","0.155237","0.049804","0.059124","0.164848","0.57551"
"Mobile Media(16)","0.076599","0.079802","0.215525","0.061162","0.071066","0.20737","0.06058","0.066987","0.183487","0.059998","0.071065","0.20504","0.641624"
"Mobile  Model(16)","0.04893","0.035241","0.16543","0.036698","0.027669","0.180575","0.044853","0.032329","0.170382","0.03961","0.030873","0.167469","0.63143"
"modelo celular(16)","0.048348","0.041649","0.164848","0.036698","0.035241","0.156984","0.03728","0.034658","0.150868","0.035824","0.035533","0.154363","0.572015"
"mobile media(16)","0.068444","0.082424","0.207662","0.054755","0.071647","0.199797","0.054755","0.069027","0.185526","0.05359","0.07223","0.198633","0.709777"
"MobileMedia7(16)","0.05825","0.070483","0.193681","0.048347","0.067861","0.176498","0.049512","0.064075","0.162517","0.048639","0.067861","0.173003","0.846372"
"modelo mobilemedia(16)","0.058833","0.053882","0.129898","0.047182","0.047474","0.122907","0.047474","0.037863","0.118247","0.048347","0.037571","0.122034","0.937825"
