Num features,BT+HMO+MCF,BT+HMO+MVW,BT+HTC+MCF,BT+HTC+MVW,BT+HMO+MHV,BT+HTC+MHV,B&B+HTC+MHV,BestFS+HTC+MHV,B&B+HTC+MCF,BestFS+HTC+MCF,B&B+HTC+MVW,BestFS+HTC+MVW,B&B+HMO+MCF,BestFS+HMO+MCF,B&B+HMO+MHV,BestFS+HMO+MHV,B&B+HMO+MVW,BestFS+HMO+MVW
1000-OPTIONALS,0.105211417,0.077572354,0.075098533,0.075876744,0.138407224,0.193239474,0.169522632,0.164309447,0.075770123,0.065632923,0.094853549,0.089289436,0.109550262,0.055964166,0.124193799,0.126562549,0.114402506,0.072866527
1000-NORMAL,0.060555711,0.040030741,0.058612127,0.066277064,0.155373768,0.118180914,0.100494974,0.102490416,0.038411224,0.037131433,0.061016002,0.04850759,0.168000786,0.173269279,0.161422118,0.176708445,3.495594706,4.242776239
1000-CARDINALITY,0.031106175,0.042449887,0.046796352,0.040233586,0.085293816,0.170101717,0.140041998,0.091498262,0.031283691,0.057165643,0.03066999,0.054448026,0.674566483,0.603142275,0.216734962,0.21173984,5.076372794,5.637041198
1000-CARDINALITY+CTC0.147,0.052252672,0.031024048,0.040368885,0.04630246,0.13902656,0.137401408,0.133906166,0.127876706,0.04394563,0.030160419,0.062675705,0.048554247,0.250827584,0.226952206,0.207817869,0.193033955,2.160254973,1.847685054
1000-CARDINALITY+CTC0.147+IR0.9,0.046643463,0.057227243,0.047859316,0.051856745,0.112068813,0.110517232,0.141630599,0.140604888,0.295525689,0.249127989,0.11330195,0.088799666,0.601249702,0.5950045,0.322870613,0.305753065,0.361215095,0.273121957
