"Num features","BT+HMO+MCF","BT+HMO+MVW","BT+HTC+MCF","BT+HTC+MVW","BT+HMO+MHV","BT+HTC+MHV","B&B+HTC+MHV","BestFS+HTC+MHV","B&B+HTC+MCF","BestFS+HTC+MCF","B&B+HTC+MVW","BestFS+HTC+MVW","B&B+HMO+MCF","BestFS+HMO+MCF","B&B+HMO+MHV","BestFS+HMO+MHV","B&B+HMO+MVW","BestFS+HMO+MVW"
"1000-OPTIONALS","0.155206935","0.14366915400000002","0.150030041","0.14708632500000002","0.355082921","0.394111865","0.38955122200000003","0.376461353","0.154231436","0.143810505","0.15380272399999997","0.145859443","0.151428643","0.13634627700000002","0.34684013199999997","0.33518662","0.14994935699999998","0.137652551"
"1000-NORMAL","0.08545487","0.07553541899999999","0.074776402","0.066181821","0.276343049","0.267805386","0.259864885","0.248986744","0.070662219","0.06306785899999999","0.06901172","0.06177654","0.130970693","0.107991171","0.29462755","0.283731195","1.005224479","1.033635134"
"1000-CARDINALITY","0.079154164","0.067398503","0.069938185","0.062354084000000004","0.261816759","0.280606479","0.275382968","0.25964096400000003","0.067968125","0.061551237999999994","0.063418199","0.058242262","0.300382912","0.233914638","0.36833608500000004","0.339772447","0.984702128","0.936217467"
"1000-CARDINALITY+CTC0.147","0.06872805100000001","0.059240576","0.059621709","0.053328932","0.263877849","0.265322148","0.258102856","0.248084965","0.05972108","0.05065115","0.061881059","0.053072838000000004","0.161861286","0.132835804","0.314106321","0.289692778","0.540028176","0.483466315"
"1000-CARDINALITY+CTC0.147+IR0.9","0.08250698699999999","0.080227588","0.071778118","0.06563693300000001","0.28043856","0.284840571","0.295679075","0.283542782","0.132040835","0.108996064","0.096919909","0.080117032","0.30470186800000004","0.251887968","0.39726504599999996","0.36445843800000005","0.255496476","0.195294364"
