Num features,BT+HMO+MHV,BT+HTC+MHV,BT+HMO+MCF,BT+HTC+MCF,BT+HMO+MVW,BT+HTC+MVW,B&B+HTC+MHV,BestFS+HTC+MHV,B&B+HTC+MCF,BestFS+HTC+MCF,B&B+HTC+MVW,BestFS+HTC+MVW,B&B+HMO+MHV,BestFS+HMO+MHV,B&B+HMO+MCF,BestFS+HMO+MCF,B&B+HMO+MVW,BestFS+HMO+MVW
390,2.250716425,3.376188289,1.049976215,1.191333949,0.948090145,1.149537296,0,0,0,0,0,0,0,0,0,0,0,0
400,2.242563061,3.479596126,1.228355836,1.279804856,1.016798112,1.183278472,0,0,0,0,0,0,0,0,0,0,0,0
410,2.6007384,4.304399911,0.973392019,1.161519839,1.050051295,0.980070588,0,0,0,0,0,0,0,0,0,0,0,0
420,2.641913044,4.074774385,1.29830181,1.173465758,1.216304288,1.171025125,0,0,0,0,0,0,0,0,0,0,0,0
430,2.765678362,3.976289883,1.05130169,1.369613516,1.413046344,1.078479511,0,0,0,0,0,0,0,0,0,0,0,0
440,2.778229973,4.276618384,1.514458163,1.50335165,1.494651585,1.688523246,0,0,0,0,0,0,0,0,0,0,0,0
450,3.066061908,4.395934382,1.448037584,1.329529154,1.67934001,1.113394221,0,0,0,0,0,0,0,0,0,0,0,0
460,3.087901691,4.371575364,1.336031384,1.268665135,1.344875999,1.548235014,0,0,0,0,0,0,0,0,0,0,0,0
470,3.001886667,5.097541676,1.610591627,1.385292459,1.441814442,1.459374533,0,0,0,0,0,0,0,0,0,0,0,0
480,3.02685097,5.129475537,1.515422136,1.676615588,1.611733669,1.45657036,0,0,0,0,0,0,0,0,0,0,0,0
490,2.748780117,4.976103761,1.748064167,1.637391752,1.806818875,1.563112237,0,0,0,0,0,0,0,0,0,0,0,0
500,2.76842898,5.109378171,2.156710526,1.658515354,1.978014431,1.583240338,0,0,0,0,0,0,0,0,0,0,0,0
510,3.917301406,5.958227743,2.43246008,1.887181383,2.067648519,1.447725358,0,0,0,0,0,0,0,0,0,0,0,0
